name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Charles Smith Kung Fu Girl Riesling 2018,United States,19.96,3.8,images/Charles_Smith_Kung_Fu_Girl_Riesling_2018.png,images/bottle_Charles_Smith_Kung_Fu_Girl_Riesling_2018.png,Washington,Charles Smith,"tree fruit, citrus fruit, earth, tropical fruit, microbio, vegetal, floral, oak, spices, non oak, red fruit, black fruit, dried fruit","Pork, Shellfish, Spicy food, Poultry, Cured Meat",Riesling
Long Shadows Poet's Leap Riesling 2024,United States,20,4,images/Long_Shadows_Poets_Leap_Riesling_2024.png,images/bottle_Long_Shadows_Poets_Leap_Riesling_2024.png,Columbia Valley,Long Shadows,"tree fruit, citrus fruit, earth, tropical fruit, floral, microbio, vegetal, oak, spices, non oak, red fruit, black fruit, dried fruit","Pork, Shellfish, Spicy food, Poultry, Cured Meat",Riesling
Pacific Rim Dry Riesling 2022,United States,19.99,3.7,images/Pacific_Rim_Dry_Riesling_2022.png,images/bottle_Pacific_Rim_Dry_Riesling_2022.png,Columbia Valley,Pacific Rim,"tree fruit, citrus fruit, earth, floral, tropical fruit, microbio, oak, red fruit, spices, vegetal, non oak, black fruit, dried fruit","Pork, Shellfish, Spicy food, Poultry, Cured Meat",Riesling
Dr. Loosen Dr. L Riesling 2015,Germany,12.99,3.8,images/Dr_Loosen_Dr_L_Riesling_2015.png,images/bottle_Dr_Loosen_Dr_L_Riesling_2015.png,Mosel,Dr. Loosen,"tree fruit, citrus fruit, earth, tropical fruit, microbio, floral, vegetal, oak, spices, non oak, red fruit, dried fruit, black fruit","Pork, Shellfish, Spicy food, Poultry, Cured Meat",Riesling
Trimbach Riesling Alsace 2017,France,24.66,3.7,images/Trimbach_Riesling_Alsace_2017.png,images/bottle_Trimbach_Riesling_Alsace_2017.png,Alsace,Trimbach,"citrus fruit, tree fruit, earth, tropical fruit, microbio, vegetal, oak, floral, spices, non oak, red fruit, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Spicy food, Vegetarian, Cured Meat",Riesling
El Enemigo Cabernet Franc 2021,Argentina,27.99,4.3,images/El_Enemigo_Cabernet_Franc_2021.png,images/bottle_El_Enemigo_Cabernet_Franc_2021.png,Mendoza,El Enemigo,"oak, black fruit, non oak, spices, earth, red fruit, microbio, floral, vegetal, dried fruit, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Pork, Vegetarian, Poultry, Goat's Milk Cheese",Cabernet Franc
Lieu Dit Cabernet Franc 2023,United States,29.99,4,images/Lieu_Dit_Cabernet_Franc_2023.png,images/bottle_Lieu_Dit_Cabernet_Franc_2023.png,Santa Ynez Valley,Lieu Dit,"red fruit, earth, spices, oak, black fruit, non oak, vegetal, floral, microbio, dried fruit, tree fruit, citrus fruit, tropical fruit","Beef, Pork, Game (deer, venison), Poultry",Cabernet Franc
Chateau Ste. Michelle Riesling 2019,United States,15.26,3.8,images/Chateau_Ste_Michelle_Riesling_2019.png,images/bottle_Chateau_Ste_Michelle_Riesling_2019.png,Columbia Valley,Chateau Ste. Michelle,"tree fruit, citrus fruit, earth, tropical fruit, microbio, oak, vegetal, floral, spices, non oak, red fruit, black fruit, dried fruit","Pork, Shellfish, Spicy food, Poultry, Cured Meat",Riesling
Domaine Ostertag Muenchberg Riesling 2022,France,89.99,4.2,images/Domaine_Ostertag_Muenchberg_Riesling_2022.png,images/bottle_Domaine_Ostertag_Muenchberg_Riesling_2022.png,Alsace Grand Cru 'Muenchberg',Domaine Ostertag,"tree fruit, earth, citrus fruit, tropical fruit, microbio, oak, non oak, floral, spices, vegetal, dried fruit","Pork, Rich fish (salmon, tuna etc), Spicy food, Vegetarian, Cured Meat",Riesling
Bouvet Ladubay Bouvet Excellence Crémant de Loire Rosé Brut,France,16.99,3.9,images/Bouvet_Ladubay_Bouvet_Excellence_Crmant_de_Loire_R.png,images/bottle_Bouvet_Ladubay_Bouvet_Excellence_Crmant_de_.png,Crémant de Loire,Bouvet Ladubay,"red fruit, microbio, tree fruit, citrus fruit, non oak, earth, oak, spices, vegetal, floral, black fruit, tropical fruit, dried fruit","Shellfish, Poultry, Appetizers and snacks, Lean fish, Aperitif","Chardonnay, Pinot Gris, Pinot Noir, Roussanne, Pinot Blanc, Auxerrois"
