name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Caymus Vineyards Cabernet Sauvignon 1973,United States,849,4.6,images/Caymus_Vineyards_Cabernet_Sauvignon_1973.png,images/bottle_Caymus_Vineyards_Cabernet_Sauvignon_1973.png,Napa Valley,Caymus Vineyards,"oak, black fruit, non oak, spices, red fruit, earth, microbio, dried fruit, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Mature and hard cheese, Poultry",Cabernet Sauvignon
J. Lohr Vineyards & Wines Estates Seven Oaks Cabernet Sauvignon 2023,United States,14.99,4,images/J_Lohr_Vineyards_Wines_Estates_Seven_Oaks_Cabernet.png,images/bottle_J_Lohr_Vineyards_Wines_Estates_Seven_Oaks_C.png,Paso Robles,J. Lohr Vineyards & Wines,"oak, black fruit, red fruit, non oak, spices, earth, microbio, dried fruit, vegetal, tree fruit, floral, citrus fruit, tropical fruit","Beef, Lamb, Game (deer, venison)",Cabernet Sauvignon
Decoy Cabernet Sauvignon 2023,United States,17.99,4,images/Decoy_Cabernet_Sauvignon_2023.png,images/bottle_Decoy_Cabernet_Sauvignon_2023.png,California,Decoy,"oak, black fruit, red fruit, non oak, spices, earth, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry",Cabernet Sauvignon
Beringer Knights Valley Cabernet Sauvignon 1982,United States,178,4.1,images/Beringer_Knights_Valley_Cabernet_Sauvignon_1982.png,images/bottle_Beringer_Knights_Valley_Cabernet_Sauvignon_.png,Knights Valley,Beringer,"oak, black fruit, non oak, spices, red fruit, earth, microbio, dried fruit, vegetal, floral, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Game (deer, venison)",Cabernet Sauvignon
Stags' Leap Cabernet Sauvignon 1986,United States,198,4.3,images/Stags_Leap_Cabernet_Sauvignon_1986.png,images/bottle_Stags_Leap_Cabernet_Sauvignon_1986.png,Napa Valley,Stags' Leap,"oak, black fruit, non oak, earth, spices, red fruit, microbio, dried fruit, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Mature and hard cheese, Poultry",Cabernet Sauvignon
Chateau Ste. Michelle Cabernet Sauvignon 1970,United States,225,3.8,images/Chateau_Ste_Michelle_Cabernet_Sauvignon_1970.png,images/bottle_Chateau_Ste_Michelle_Cabernet_Sauvignon_197.png,Columbia Valley,Chateau Ste. Michelle,"oak, black fruit, non oak, spices, red fruit, earth, microbio, dried fruit, tree fruit, vegetal, floral, citrus fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry",Cabernet Sauvignon
Duckhorn Napa Valley Cabernet Sauvignon 1986,United States,179,4.3,images/Duckhorn_Napa_Valley_Cabernet_Sauvignon_1986.png,images/bottle_Duckhorn_Napa_Valley_Cabernet_Sauvignon_198.png,Napa Valley,Duckhorn,"oak, black fruit, non oak, spices, red fruit, earth, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Mature and hard cheese, Poultry",Cabernet Sauvignon
Bonanza Cabernet Sauvignon Lot,United States,10.99,4.1,images/Bonanza_Cabernet_Sauvignon_Lot.png,images/bottle_Bonanza_Cabernet_Sauvignon_Lot.png,California,Bonanza,"oak, black fruit, non oak, red fruit, spices, earth, dried fruit, microbio, floral, tree fruit, vegetal, citrus fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry",Cabernet Sauvignon
Joseph Phelps Vineyards Insignia 1980,United States,379,4.6,images/Joseph_Phelps_Vineyards_Insignia_1980.png,images/bottle_Joseph_Phelps_Vineyards_Insignia_1980.png,Napa Valley,Joseph Phelps Vineyards,"oak, black fruit, earth, non oak, spices, red fruit, microbio, dried fruit, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Mature and hard cheese, Poultry",Cabernet Sauvignon
Louis M. Martini Napa Valley Cabernet Sauvignon 1970,United States,215,4.1,images/Louis_M_Martini_Napa_Valley_Cabernet_Sauvignon_197.png,images/bottle_Louis_M_Martini_Napa_Valley_Cabernet_Sauvig.png,Napa Valley,Louis M. Martini,"oak, black fruit, non oak, earth, spices, red fruit, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Mature and hard cheese, Poultry",Cabernet Sauvignon
