name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Château de Beaucastel Châteauneuf-du-Pape 1968,France,565,4.4,images/Chteau_de_Beaucastel_Chteauneuf_du_Pape_1968.png,images/bottle_Chteau_de_Beaucastel_Chteauneuf_du_Pape_196.png,Châteauneuf-du-Pape,Château de Beaucastel,"earth, oak, black fruit, red fruit, spices, non oak, dried fruit, microbio, floral, vegetal, citrus fruit, tree fruit, tropical fruit","Lamb, Pork, Poultry","Shiraz/Syrah, Mourvedre, Counoise, Cinsaut, Vaccareze, Muscardin"
Ogier L'Oratoire des Papes Châteauneuf-du-Pape 1978,France,275,4.2,images/Ogier_LOratoire_des_Papes_Chteauneuf_du_Pape_1978.png,images/bottle_Ogier_LOratoire_des_Papes_Chteauneuf_du_Pap.png,Châteauneuf-du-Pape,Ogier,"oak, red fruit, black fruit, spices, earth, non oak, microbio, dried fruit, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Lamb, Pork, Poultry","Shiraz/Syrah, Mourvedre, Counoise, Cinsaut, Vaccareze, Muscardin"
Altos del Plata Malbec 2024,Argentina,11.99,3.5,images/Altos_del_Plata_Malbec_2024.png,images/bottle_Altos_del_Plata_Malbec_2024.png,Lujan de Cuyo,Altos del Plata,"oak, black fruit, red fruit, earth, non oak, spices, microbio, floral, dried fruit, vegetal, citrus fruit, tropical fruit, tree fruit","Beef, Lamb",Malbec
Domaine du Vieux Télégraphe Châteauneuf-du-Pape (La Crau) 1986,France,285,4.3,images/Domaine_du_Vieux_Tlgraphe_Chteauneuf_du_Pape_La_Cr.png,images/bottle_Domaine_du_Vieux_Tlgraphe_Chteauneuf_du_Pap.png,Châteauneuf-du-Pape,Domaine du Vieux Télégraphe,"earth, oak, red fruit, black fruit, spices, non oak, dried fruit, microbio, floral, vegetal, citrus fruit, tree fruit, tropical fruit","Lamb, Pork, Poultry","Shiraz/Syrah, Mourvedre, Counoise, Cinsaut, Vaccareze, Muscardin"
Domaine de Beaurenard Châteauneuf-du-Pape 1979,France,165,4.1,images/Domaine_de_Beaurenard_Chteauneuf_du_Pape_1979.png,images/bottle_Domaine_de_Beaurenard_Chteauneuf_du_Pape_19.png,Châteauneuf-du-Pape,Domaine de Beaurenard,"oak, earth, black fruit, red fruit, non oak, spices, dried fruit, microbio, floral, tree fruit, vegetal, citrus fruit, tropical fruit","Lamb, Pork, Poultry","Shiraz/Syrah, Mourvedre, Counoise, Cinsaut, Vaccareze, Muscardin"
Le Vieux Donjon Châteauneuf-du-Pape 1990,France,277,4.2,images/Le_Vieux_Donjon_Chteauneuf_du_Pape_1990.png,images/bottle_Le_Vieux_Donjon_Chteauneuf_du_Pape_1990.png,Châteauneuf-du-Pape,Le Vieux Donjon,"oak, earth, black fruit, spices, red fruit, non oak, microbio, dried fruit, floral, vegetal, citrus fruit, tree fruit","Lamb, Pork, Poultry","Shiraz/Syrah, Mourvedre, Counoise, Cinsaut, Vaccareze, Muscardin"
Bosquet des Papes Châteauneuf-du-Pape (Cuvée Tradition) 1986,France,118,4.1,images/Bosquet_des_Papes_Chteauneuf_du_Pape_Cuve_Traditio.png,images/bottle_Bosquet_des_Papes_Chteauneuf_du_Pape_Cuve_T.png,Châteauneuf-du-Pape,Bosquet des Papes,"oak, earth, red fruit, non oak, spices, black fruit, microbio, dried fruit, floral, vegetal, citrus fruit, tree fruit, tropical fruit","Lamb, Pork, Poultry","Shiraz/Syrah, Mourvedre, Counoise, Cinsaut, Vaccareze, Muscardin"
Château Pigoudet Première Rosé 2024,France,17.99,3.9,images/Chteau_Pigoudet_Premire_Ros_2024.png,images/bottle_Chteau_Pigoudet_Premire_Ros_2024.png,Coteaux d'Aix-en-Provence,Château Pigoudet,"red fruit, tree fruit, citrus fruit, earth, microbio, vegetal, oak, floral, spices, tropical fruit, non oak, black fruit, dried fruit","Pork, Shellfish, Vegetarian, Poultry","Shiraz/Syrah, Grenache, Cinsault"
El Enemigo Malbec 2019,Argentina,29.99,4.3,images/El_Enemigo_Malbec_2019.png,images/bottle_El_Enemigo_Malbec_2019.png,Mendoza,El Enemigo,"oak, black fruit, non oak, earth, spices, red fruit, microbio, floral, dried fruit, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Pork",Malbec
Altos Las Hormigas Malbec Reserve 2022,Argentina,23,3.8,images/Altos_Las_Hormigas_Malbec_Reserve_2022.png,images/bottle_Altos_Las_Hormigas_Malbec_Reserve_2022.png,Uco Valley,Altos Las Hormigas,"black fruit, oak, earth, non oak, spices, red fruit, microbio, floral, vegetal, citrus fruit, dried fruit, tropical fruit, tree fruit","Beef, Lamb",Malbec
Olema Côtes de Provence 2024,France,13.99,3.9,images/Olema_Ctes_de_Provence_2024.png,images/bottle_Olema_Ctes_de_Provence_2024.png,Côtes de Provence,Olema,"red fruit, tree fruit, citrus fruit, earth, microbio, floral, vegetal, spices, oak, tropical fruit, non oak, black fruit, dried fruit","Pork, Shellfish, Vegetarian, Poultry","Shiraz/Syrah, Grenache, Cinsault"
Zaha Toko Vineyard Malbec 2021,Argentina,29.99,4.1,images/Zaha_Toko_Vineyard_Malbec_2021.png,images/bottle_Zaha_Toko_Vineyard_Malbec_2021.png,Paraje Altamira,Zaha,"black fruit, oak, earth, spices, non oak, red fruit, microbio, dried fruit, floral, tree fruit, vegetal","Beef, Lamb",Malbec
Alamos Malbec 2023,Argentina,10.69,3.8,images/Alamos_Malbec_2023.png,images/bottle_Alamos_Malbec_2023.png,Mendoza,Alamos,"black fruit, oak, red fruit, earth, non oak, spices, microbio, dried fruit, floral, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Pork",Malbec
Zolo Malbec 2024,Argentina,14.99,3.6,images/Zolo_Malbec_2024.png,images/bottle_Zolo_Malbec_2024.png,Mendoza,Zolo,"oak, black fruit, red fruit, spices, earth, non oak, microbio, floral, dried fruit, citrus fruit, vegetal, tree fruit, tropical fruit","Beef, Lamb, Pork",Malbec
Casillero del Diablo Carmenere (Reserva) 2021,Chile,11.99,3.8,images/Casillero_del_Diablo_Carmenere_Reserva_2021.png,images/bottle_Casillero_del_Diablo_Carmenere_Reserva_2021.png,Rapel Valley,Casillero del Diablo,"oak, black fruit, non oak, earth, red fruit, spices, vegetal, microbio, dried fruit, floral, citrus fruit, tree fruit, tropical fruit","Beef, Pasta, Lamb, Poultry",Carménère
San Gregorio Tres Ojos Garnacha 2022,Spain,11.98,3.8,images/San_Gregorio_Tres_Ojos_Garnacha_2022.png,images/bottle_San_Gregorio_Tres_Ojos_Garnacha_2022.png,Calatayud,San Gregorio,"red fruit, earth, oak, black fruit, spices, non oak, microbio, dried fruit, vegetal, tree fruit, floral","Beef, Pasta, Lamb, Game (deer, venison), Poultry",Grenache
Cal Pla Priorat 2004,Spain,63,4,images/Cal_Pla_Priorat_2004.png,images/bottle_Cal_Pla_Priorat_2004.png,Priorat,Cal Pla,"oak, black fruit, earth, non oak, spices, red fruit, microbio, dried fruit, tree fruit, floral, citrus fruit, vegetal, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry","Shiraz/Syrah, Cabernet Sauvignon, Grenache, Carignan"
Santa Margherita Pinot Grigio Valdadige 2022,Italy,13.99,4,images/Santa_Margherita_Pinot_Grigio_Valdadige_2022.png,images/bottle_Santa_Margherita_Pinot_Grigio_Valdadige_202.png,Valdadige,Santa Margherita,"tree fruit, citrus fruit, earth, vegetal, microbio, oak, tropical fruit, non oak, floral, spices, red fruit, black fruit, dried fruit","Shellfish, Vegetarian, Mushrooms, Aperitif",Pinot Grigio
Catena Malbec 2021,Argentina,19.99,4.1,images/Catena_Malbec_2021.png,images/bottle_Catena_Malbec_2021.png,Mendoza,Catena,"oak, black fruit, non oak, earth, spices, red fruit, microbio, floral, dried fruit, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Pork",Malbec
Domaine du Cayron Gigondas 1990,France,135,4,images/Domaine_du_Cayron_Gigondas_1990.png,images/bottle_Domaine_du_Cayron_Gigondas_1990.png,Gigondas,Domaine du Cayron,"black fruit, oak, earth, red fruit, spices, non oak, dried fruit, floral, vegetal, microbio, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Game (deer, venison)","Shiraz/Syrah, Grenache, Mourvedre"
Vallisto Malbec 2021,Argentina,20.99,3.9,images/Vallisto_Malbec_2021.png,images/bottle_Vallisto_Malbec_2021.png,Cafayate Valley,Vallisto,"oak, black fruit, non oak, earth, red fruit, spices, microbio, dried fruit, floral, citrus fruit, tropical fruit, vegetal","Beef, Lamb",Malbec
Mezzacorona Pinot Grigio Trentino 2018,Italy,12.98,3.7,images/Mezzacorona_Pinot_Grigio_Trentino_2018.png,images/bottle_Mezzacorona_Pinot_Grigio_Trentino_2018.png,Trentino,Mezzacorona,"tree fruit, citrus fruit, earth, vegetal, microbio, oak, tropical fruit, floral, non oak, spices, red fruit, black fruit, dried fruit","Shellfish, Vegetarian, Mushrooms, Aperitif",Pinot Grigio
Domaine Font de Michelle Châteauneuf-du-Pape 1990,France,186,4.1,images/Domaine_Font_de_Michelle_Chteauneuf_du_Pape_1990.png,images/bottle_Domaine_Font_de_Michelle_Chteauneuf_du_Pape.png,Châteauneuf-du-Pape,Domaine Font de Michelle,"oak, black fruit, earth, red fruit, spices, non oak, microbio, dried fruit, tree fruit, floral, vegetal, citrus fruit, tropical fruit","Lamb, Pork, Poultry","Shiraz/Syrah, Mourvedre, Counoise, Cinsaut, Vaccareze, Muscardin"
Viña Cobos Felino Malbec 2022,Argentina,22.99,4,images/Via_Cobos_Felino_Malbec_2022.png,images/bottle_Via_Cobos_Felino_Malbec_2022.png,Mendoza,Viña Cobos,"oak, black fruit, red fruit, earth, non oak, spices, microbio, floral, dried fruit, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Pork",Malbec
Ca' Bolani Pinot Grigio 2024,Italy,11.99,3.7,images/Ca_Bolani_Pinot_Grigio_2024.png,images/bottle_Ca_Bolani_Pinot_Grigio_2024.png,Friuli Aquileia,Ca' Bolani,"tree fruit, citrus fruit, earth, microbio, oak, tropical fruit, vegetal, floral, non oak, spices, red fruit","Shellfish, Vegetarian, Mushrooms, Aperitif",Pinot Grigio
