name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Perrier-Jouët Grand Brut Champagne,France,32,4.2,images/Perrier_Jout_Grand_Brut_Champagne.png,images/bottle_Perrier_Jout_Grand_Brut_Champagne.png,Champagne,Perrier-Jouët,"tree fruit, citrus fruit, non oak, microbio, oak, earth, vegetal, spices, floral, tropical fruit, red fruit, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Ruinart Blanc de Blancs Brut Champagne,France,59.99,4.4,images/Ruinart_Blanc_de_Blancs_Brut_Champagne.png,images/bottle_Ruinart_Blanc_de_Blancs_Brut_Champagne.png,Champagne,Ruinart,"tree fruit, citrus fruit, microbio, non oak, oak, earth, vegetal, tropical fruit, spices, floral, red fruit, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Rombauer Vineyards Chardonnay 2004,United States,58.72,4.4,images/Rombauer_Vineyards_Chardonnay_2004.png,images/bottle_Rombauer_Vineyards_Chardonnay_2004.png,Los Carneros,Rombauer Vineyards,"oak, microbio, non oak, tree fruit, spices, citrus fruit, tropical fruit, vegetal, earth, floral, dried fruit, red fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",Chardonnay
Ferrari Trento Brut,Italy,14.99,3.8,images/Ferrari_Trento_Brut.png,images/bottle_Ferrari_Trento_Brut.png,Trento,Ferrari,"tree fruit, citrus fruit, microbio, non oak, oak, earth, vegetal, spices, tropical fruit, floral, red fruit, dried fruit, black fruit","Shellfish, Any junk food will do, Appetizers and snacks, Lean fish, Aperitif",
Ca' del Bosco Franciacorta Cuvée Prestige,Italy,39.99,4.1,images/Ca_del_Bosco_Franciacorta_Cuve_Prestige.png,images/bottle_Ca_del_Bosco_Franciacorta_Cuve_Prestige.png,Franciacorta,Ca' del Bosco,"tree fruit, non oak, citrus fruit, microbio, oak, earth, vegetal, tropical fruit, spices, floral, red fruit, dried fruit, black fruit","Shellfish, Appetizers and snacks, Lean fish, Mild and soft cheese, Aperitif","Chardonnay, Pinot Noir, Pinot Blanc"
Chateau Montelena Chardonnay 1994,United States,795,4.3,images/Chateau_Montelena_Chardonnay_1994.png,images/bottle_Chateau_Montelena_Chardonnay_1994.png,Napa Valley,Chateau Montelena,"oak, tree fruit, microbio, citrus fruit, non oak, earth, spices, tropical fruit, vegetal, floral, red fruit, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",Chardonnay
Ruinart Dom Ruinart Blanc de Blancs Brut Champagne 1981,France,645,4.5,images/Ruinart_Dom_Ruinart_Blanc_de_Blancs_Brut_Champagne.png,images/bottle_Ruinart_Dom_Ruinart_Blanc_de_Blancs_Brut_Ch.png,Champagne,Ruinart,"non oak, microbio, oak, tree fruit, citrus fruit, earth, vegetal, spices, red fruit, tropical fruit, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Moët & Chandon Ice Impérial (Demi-Sec) Champagne,France,64.09,4.2,images/Mot_Chandon_Ice_Imprial_Demi_Sec_Champagne.png,images/bottle_Mot_Chandon_Ice_Imprial_Demi_Sec_Champagne.png,Champagne,Moët & Chandon,"tree fruit, citrus fruit, spices, red fruit, earth, tropical fruit, non oak, microbio, oak, vegetal, black fruit, floral, dried fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Ayala Brut Majeur Champagne,France,59.99,3.9,images/Ayala_Brut_Majeur_Champagne.png,images/bottle_Ayala_Brut_Majeur_Champagne.png,Champagne,Ayala,"citrus fruit, tree fruit, non oak, microbio, oak, earth, vegetal, spices, tropical fruit, floral, red fruit, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Jacquart Mosaïque Brut Champagne,France,34.99,3.9,images/Jacquart_Mosaque_Brut_Champagne.png,images/bottle_Jacquart_Mosaque_Brut_Champagne.png,Champagne,Jacquart,"tree fruit, non oak, citrus fruit, microbio, oak, earth, vegetal, spices, tropical fruit, floral, red fruit, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Schramsberg Blanc de Blancs Brut 2022,United States,39.99,4.1,images/Schramsberg_Blanc_de_Blancs_Brut_2022.png,images/bottle_Schramsberg_Blanc_de_Blancs_Brut_2022.png,North Coast,Schramsberg,"tree fruit, citrus fruit, microbio, non oak, oak, earth, vegetal, spices, tropical fruit, floral, red fruit, dried fruit, black fruit","Shellfish, Appetizers and snacks, Lean fish, Aperitif","Chardonnay, Pinot Noir"
CHANDON Brazil Réserve Brut,Brazil,48,3.7,images/CHANDON_Brazil_Rserve_Brut.png,images/bottle_CHANDON_Brazil_Rserve_Brut.png,Serra Gaúcha,CHANDON Brazil,"tree fruit, vegetal, microbio, citrus fruit, non oak, oak, tropical fruit, earth, red fruit, spices, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish","Chardonnay, Pinot Gris, Pinot Noir, Sauvignon Blanc, Pinot Meunier, Verdejo, Muscatel, Glera"
Bonneau du Martray Corton-Charlemagne Grand Cru 2021,France,825,4.4,images/Bonneau_du_Martray_Corton_Charlemagne_Grand_Cru_20.png,images/bottle_Bonneau_du_Martray_Corton_Charlemagne_Grand.png,Corton-Charlemagne Grand Cru,Bonneau du Martray,"oak, earth, microbio, citrus fruit, tree fruit, non oak, spices, tropical fruit, vegetal, floral, red fruit, dried fruit, black fruit","Pasta, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese, Cured Meat","Chardonnay, Pinot Gris, Pinot Blanc, Aligoté"
Taittinger Cuvée Prestige Brut Champagne,France,76.99,4.1,images/Taittinger_Cuve_Prestige_Brut_Champagne.png,images/bottle_Taittinger_Cuve_Prestige_Brut_Champagne.png,Champagne,Taittinger,"tree fruit, non oak, citrus fruit, microbio, oak, earth, vegetal, red fruit, spices, tropical fruit, floral, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
