name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Bernard Defaix Chablis 2023,France,43.99,3.9,images/Bernard_Defaix_Chablis_2023.png,images/bottle_Bernard_Defaix_Chablis_2023.png,Chablis,Bernard Defaix,"citrus fruit, earth, tree fruit, oak, microbio, vegetal, non oak, spices, tropical fruit, floral, black fruit, red fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese",Chardonnay
Château Vitallis - Denis Dutron Pouilly-Fuissé 2022,France,34.99,4.2,images/Chteau_Vitallis_Denis_Dutron_Pouilly_Fuiss_2022.png,images/bottle_Chteau_Vitallis_Denis_Dutron_Pouilly_Fuiss_.png,Pouilly-Fuissé,Château Vitallis - Denis Dutron,"oak, microbio, tree fruit, citrus fruit, non oak, earth, spices, tropical fruit, vegetal, floral","Pasta, Vegetarian, Cured Meat","Chardonnay, Aligoté"
Paul Hobbs CrossBarn Sonoma Coast Chardonnay 2022,United States,26.99,4,images/Paul_Hobbs_CrossBarn_Sonoma_Coast_Chardonnay_2022.png,images/bottle_Paul_Hobbs_CrossBarn_Sonoma_Coast_Chardonna.png,Sonoma Coast,Paul Hobbs,"oak, tree fruit, microbio, citrus fruit, non oak, earth, spices, vegetal, tropical fruit, floral, red fruit, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",Chardonnay
Hartford Court Jennifer’s Chardonnay 2023,United States,75,4.4,images/Hartford_Court_Jennifers_Chardonnay_2023.png,images/bottle_Hartford_Court_Jennifers_Chardonnay_2023.png,Russian River Valley,Hartford Court,"tree fruit, oak, microbio, tropical fruit, citrus fruit, vegetal, spices, earth, non oak","Pork, Vegetarian, Poultry",Chardonnay
J Vineyards Chardonnay 2020,United States,27.99,4.2,images/J_Vineyards_Chardonnay_2020.png,images/bottle_J_Vineyards_Chardonnay_2020.png,Russian River Valley,J Vineyards,"oak, microbio, tree fruit, citrus fruit, non oak, spices, tropical fruit, earth, vegetal, floral, black fruit","Pork, Vegetarian, Poultry",Chardonnay
Domaine du Pelican En Barbi Chardonnay 2022,France,65,4.1,images/Domaine_du_Pelican_En_Barbi_Chardonnay_2022.jpg,,Arbois,Domaine du Pelican,"earth, tree fruit, citrus fruit, oak, microbio, non oak, tropical fruit, spices, floral, vegetal","Mature and hard cheese, Poultry, Mushrooms, Mild and soft cheese",Chardonnay
Château de Chamirey Mercurey Blanc 2020,France,38,4.1,images/Chteau_de_Chamirey_Mercurey_Blanc_2020.png,images/bottle_Chteau_de_Chamirey_Mercurey_Blanc_2020.png,Mercurey,Château de Chamirey,"tree fruit, oak, citrus fruit, earth, microbio, non oak, spices, vegetal, tropical fruit, red fruit, floral, black fruit, dried fruit","Pasta, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese, Cured Meat","Chardonnay, Aligoté"
Patz & Hall Dutton Ranch Chardonnay 2012,United States,74.99,4.1,images/Patz_Hall_Dutton_Ranch_Chardonnay_2012.png,images/bottle_Patz_Hall_Dutton_Ranch_Chardonnay_2012.png,Russian River Valley,Patz & Hall,"oak, microbio, tree fruit, citrus fruit, non oak, earth, spices, tropical fruit, vegetal, floral, dried fruit, black fruit, red fruit","Pork, Vegetarian, Poultry",Chardonnay
Domaine Laroche Chablis Premier Cru 'Les Beauroys' 2022,France,74.99,4.1,images/Domaine_Laroche_Chablis_Premier_Cru_Les_Beauroys_2.png,images/bottle_Domaine_Laroche_Chablis_Premier_Cru_Les_Bea.png,Chablis Premier Cru,Domaine Laroche,"tree fruit, citrus fruit, earth, microbio, oak, vegetal, non oak, tropical fruit, floral, spices","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese",Chardonnay
Herzog Special Reserve Chardonnay 2019,United States,44.99,3.9,images/Herzog_Special_Reserve_Chardonnay_2019.png,images/bottle_Herzog_Special_Reserve_Chardonnay_2019.png,Russian River Valley,Herzog,"oak, microbio, citrus fruit, tree fruit, spices, non oak, earth, tropical fruit, floral","Pork, Vegetarian, Poultry",Chardonnay
Franciscan Chardonnay 2022,United States,12.99,4,images/Franciscan_Chardonnay_2022.png,images/bottle_Franciscan_Chardonnay_2022.png,California,Franciscan,"oak, microbio, tree fruit, citrus fruit, non oak, spices, earth, vegetal, tropical fruit, black fruit, red fruit, floral, dried fruit","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",Chardonnay
Bouchard Père & Fils Bâtard-Montrachet Grand Cru Blanc 2007,France,776,4.4,images/Bouchard_Pre_Fils_Btard_Montrachet_Grand_Cru_Blanc.png,images/bottle_Bouchard_Pre_Fils_Btard_Montrachet_Grand_Cr.png,Bâtard-Montrachet Grand Cru,Bouchard Père & Fils,"oak, earth, tree fruit, microbio, spices, non oak, tropical fruit, citrus fruit, vegetal","Pasta, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese, Cured Meat","Chardonnay, Pinot Gris, Pinot Blanc, Aligoté"
Picchetti Leslie's Estate Chardonnay 2022,United States,69.95,4.1,images/Picchetti_Leslies_Estate_Chardonnay_2022.jpg,,Santa Cruz Mountains,Picchetti,"oak, microbio, non oak, tree fruit, spices, citrus fruit, earth, tropical fruit, vegetal","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",Chardonnay
Girard Chardonnay 2021,United States,24.99,4,images/Girard_Chardonnay_2021.png,images/bottle_Girard_Chardonnay_2021.png,Russian River Valley,Girard,"oak, microbio, tree fruit, citrus fruit, non oak, spices, earth, vegetal, tropical fruit, floral, red fruit, black fruit","Pork, Vegetarian, Poultry",Chardonnay
Marc Colin Saint-Aubin 1er Cru La Chatenière 2013,France,150,4.1,images/Marc_Colin_Saint_Aubin_1er_Cru_La_Chatenire_2013.png,images/bottle_Marc_Colin_Saint_Aubin_1er_Cru_La_Chatenire.png,Saint-Aubin Premier Cru,Marc Colin,"oak, earth, citrus fruit, microbio, tree fruit, non oak, spices, tropical fruit, vegetal, floral","Pasta, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese, Cured Meat","Chardonnay, Pinot Gris, Pinot Blanc, Aligoté"
Jean et Sébastien Dauvissat Chablis 1er Cru 'Montmains' 2022,France,55.99,3.8,images/Jean_et_Sbastien_Dauvissat_Chablis_1er_Cru_Montmai.png,images/bottle_Jean_et_Sbastien_Dauvissat_Chablis_1er_Cru_.png,Chablis 1er Cru 'Montmains',Jean et Sébastien Dauvissat,"citrus fruit, earth, microbio, tree fruit, tropical fruit, vegetal, non oak, oak","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese",Chardonnay
Ménage à Trois Gold Chardonnay 2022,United States,10.99,3.8,images/Mnage_Trois_Gold_Chardonnay_2022.png,images/bottle_Mnage_Trois_Gold_Chardonnay_2022.png,California,Ménage à Trois,"oak, microbio, non oak, spices, tropical fruit, tree fruit, citrus fruit, earth, vegetal, floral, red fruit, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",Chardonnay
Crosby Chardonnay 2023,United States,12.99,3.7,images/Crosby_Chardonnay_2023.png,images/bottle_Crosby_Chardonnay_2023.png,California,Crosby,"oak, microbio, tree fruit, non oak, tropical fruit, citrus fruit, spices, vegetal, earth","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",Chardonnay
Santo Tomás Chardonnay 2021,Mexico,14.99,3.8,images/Santo_Toms_Chardonnay_2021.jpg,,Baja California,Santo Tomás,"oak, tree fruit, microbio, earth, citrus fruit, tropical fruit, non oak, spices, red fruit, floral, vegetal","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",Chardonnay
Lorenzon Mercurey 1er Cru 'Croichots' 2020,France,103,4,images/Lorenzon_Mercurey_1er_Cru_Croichots_2020.png,images/bottle_Lorenzon_Mercurey_1er_Cru_Croichots_2020.png,Mercurey 1er Cru 'Les Croichots',Lorenzon,"oak, citrus fruit, tree fruit, earth, microbio, non oak, spices, floral","Pasta, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese, Cured Meat","Chardonnay, Aligoté"
Joseph Colin Saint-Aubin Premier Cru 'Les Frionnes' 2022,France,99,4.2,images/Joseph_Colin_Saint_Aubin_Premier_Cru_Les_Frionnes_.png,images/bottle_Joseph_Colin_Saint_Aubin_Premier_Cru_Les_Fr.png,Saint-Aubin 1er Cru 'Les Frionnes',Joseph Colin,"tree fruit, microbio, oak, earth, citrus fruit, non oak, tropical fruit","Pasta, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese, Cured Meat","Chardonnay, Pinot Gris, Pinot Blanc, Aligoté"
Francois Carillon Bourgogne Cote d'Or Chardonnay 2022,France,39.99,4.1,images/Francois_Carillon_Bourgogne_Cote_dOr_Chardonnay_20.png,images/bottle_Francois_Carillon_Bourgogne_Cote_dOr_Chardo.png,Bourgogne Côte d’Or,Francois Carillon,earth,"Pasta, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese, Cured Meat",Chardonnay
Woodward Canyon Chardonnay 2023,United States,45,3.9,images/Woodward_Canyon_Chardonnay_2023.png,images/bottle_Woodward_Canyon_Chardonnay_2023.png,Washington,Woodward Canyon,"oak, microbio, tree fruit, citrus fruit, earth, non oak, spices, vegetal, tropical fruit","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",Chardonnay
Domaine Laroche Chablis Premier Cru 'Les Montmains' 2022,France,79.99,4.1,images/Domaine_Laroche_Chablis_Premier_Cru_Les_Montmains_.png,images/bottle_Domaine_Laroche_Chablis_Premier_Cru_Les_Mon.png,Chablis Premier Cru,Domaine Laroche,"citrus fruit, earth, tree fruit, oak, microbio, non oak, spices, tropical fruit, floral, vegetal","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese",Chardonnay
Covenant Chardonnay Lavan 2020,United States,49.99,4.1,images/Covenant_Chardonnay_Lavan_2020.png,images/bottle_Covenant_Chardonnay_Lavan_2020.png,Sonoma Mountain,Covenant,"oak, microbio, tree fruit, citrus fruit, earth, spices, non oak, tropical fruit, vegetal, floral","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",Chardonnay
Matrot Bourgogne Chardonnay 2022,France,39.99,4,images/Matrot_Bourgogne_Chardonnay_2022.png,images/bottle_Matrot_Bourgogne_Chardonnay_2022.png,Bourgogne,Matrot,"oak, citrus fruit, microbio, tree fruit, earth, non oak, spices, vegetal, tropical fruit, floral, red fruit, black fruit, dried fruit","Pasta, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese, Cured Meat",Chardonnay
Domaine Sylvain Morey Chassagne-Montrachet 1er Cru 'Caillerets' 2017,France,179,4.2,images/Domaine_Sylvain_Morey_Chassagne_Montrachet_1er_Cru.png,images/bottle_Domaine_Sylvain_Morey_Chassagne_Montrachet_.png,Chassagne-Montrachet 1er Cru 'Cailleret',Domaine Sylvain Morey,"citrus fruit, earth, tree fruit, microbio, non oak, oak, spices, tropical fruit, vegetal, floral","Pasta, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese, Cured Meat","Chardonnay, Pinot Gris, Pinot Blanc, Aligoté"
