name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Château Mouton Rothschild Aile d'Argent Blanc Bordeaux 2023,France,140,4.3,images/Chteau_Mouton_Rothschild_Aile_dArgent_Blanc_Bordea.png,images/bottle_Chteau_Mouton_Rothschild_Aile_dArgent_Blanc.png,Bordeaux,Château Mouton Rothschild,"tree fruit, oak, citrus fruit, earth, microbio, tropical fruit, non oak, spices, vegetal, floral, black fruit, red fruit, dried fruit","Pork, Vegetarian, Poultry, Appetizers and snacks, Lean fish","Sauvignon Blanc, Sémillon, Muscadelle"
Confidencial Tinto Reserva 2018,Portugal,10.99,4,images/Confidencial_Tinto_Reserva_2018.png,images/bottle_Confidencial_Tinto_Reserva_2018.png,Lisboa,Confidencial,"oak, black fruit, red fruit, non oak, spices, earth, microbio, dried fruit, vegetal, floral, tree fruit, citrus fruit, tropical fruit","Beef, Pasta, Veal, Poultry","Baga, Castelao"
Luigi Maffini Pietraincatenata Fiano 2023,Italy,43.99,4.1,images/Luigi_Maffini_Pietraincatenata_Fiano_2023.png,images/bottle_Luigi_Maffini_Pietraincatenata_Fiano_2023.png,Cilento,Luigi Maffini,"tree fruit, earth, citrus fruit, oak, microbio, vegetal, non oak, spices, tropical fruit, floral, dried fruit","Shellfish, Vegetarian, Appetizers and snacks","Malvasia, Fiano, Catarratto Bianco"
La Vidaubanaise Le Provençal Côtes de Provence Rosé 2024,France,17.99,3.8,images/La_Vidaubanaise_Le_Provenal_Ctes_de_Provence_Ros_2.png,images/bottle_La_Vidaubanaise_Le_Provenal_Ctes_de_Provenc.png,Côtes de Provence,La Vidaubanaise,"red fruit, citrus fruit, earth, tree fruit, microbio, vegetal, spices, oak, floral, tropical fruit, non oak, black fruit, dried fruit","Pork, Shellfish, Vegetarian, Poultry","Shiraz/Syrah, Grenache, Cinsault"
La Vieille Ferme Blanc 2023,France,19.99,3.6,images/La_Vieille_Ferme_Blanc_2023.png,images/bottle_La_Vieille_Ferme_Blanc_2023.png,Luberon,La Vieille Ferme,"tree fruit, citrus fruit, earth, red fruit, oak, microbio, black fruit, spices, non oak, vegetal, tropical fruit, floral, dried fruit","Pork, Rich fish (salmon, tuna etc), Mature and hard cheese, Poultry, Cured Meat","Viognier, Roussanne, Marsanne, Grenache Blanc, Clairette, Bourboulenc"
Katsunuma Jyozo Winery Aruga Branca Brilhante 2006,Japan,120,3.7,images/Katsunuma_Jyozo_Winery_Aruga_Branca_Brilhante_2006.jpg,,Yamanashi-ken,Katsunuma Jyozo Winery,"tree fruit, citrus fruit, microbio, earth, floral, vegetal, tropical fruit, non oak","Shellfish, Any junk food will do, Appetizers and snacks, Lean fish, Aperitif",
Curran Grenache Blanc 2023,United States,26,4.1,images/Curran_Grenache_Blanc_2023.png,images/bottle_Curran_Grenache_Blanc_2023.png,Santa Ynez Valley,Curran,"tree fruit, citrus fruit, tropical fruit, earth, microbio, oak, red fruit, floral, vegetal, non oak, black fruit, spices","Pasta, Rich fish (salmon, tuna etc), Shellfish, Vegetarian, Poultry, Lean fish",
Herència Altés Garnatxa Blanca 2022,Spain,16,3.8,images/Herncia_Alts_Garnatxa_Blanca_2022.png,images/bottle_Herncia_Alts_Garnatxa_Blanca_2022.png,Terra Alta,Herència Altés,"tree fruit, citrus fruit, earth, microbio, vegetal, spices, tropical fruit, oak, floral, non oak, red fruit","Shellfish, Mature and hard cheese, Poultry, Appetizers and snacks, Lean fish, Mild and soft cheese",Grenache Blanc
Feudi di San Gregorio Fiano Di Avellino 2022,Italy,27.99,3.8,images/Feudi_di_San_Gregorio_Fiano_Di_Avellino_2022.png,images/bottle_Feudi_di_San_Gregorio_Fiano_Di_Avellino_202.png,Fiano de Avellino,Feudi di San Gregorio,"tree fruit, citrus fruit, earth, microbio, vegetal, oak, tropical fruit, non oak, floral, spices, red fruit, dried fruit","Shellfish, Vegetarian, Appetizers and snacks","Malvasia, Fiano, Catarratto Bianco"
Clos des Papes (Paul Avril) Châteauneuf-du-Pape Blanc 2016,France,89,4.2,images/Clos_des_Papes_Paul_Avril_Chteauneuf_du_Pape_Blanc.png,images/bottle_Clos_des_Papes_Paul_Avril_Chteauneuf_du_Pap.png,Châteauneuf-du-Pape,Clos des Papes (Paul Avril),"earth, tree fruit, oak, citrus fruit, microbio, non oak, spices, vegetal, tropical fruit, floral, red fruit, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Mature and hard cheese, Poultry, Cured Meat","Viognier, Roussanne, Marsanne, Grenache Blanc, Clairette, Bourboulenc"
