name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
W. & J. Graham's Late Bottled Vintage Port 1979,Portugal,115,4.1,images/W_J_Grahams_Late_Bottled_Vintage_Port_1979.png,images/bottle_W_J_Grahams_Late_Bottled_Vintage_Port_1979.png,Porto,W. & J. Graham's,"oak, black fruit, dried fruit, non oak, red fruit, spices, earth, microbio, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
W. & J. Graham's 10 Year Old Tawny Port,Portugal,28,4.2,images/W_J_Grahams_10_Year_Old_Tawny_Port.png,images/bottle_W_J_Grahams_10_Year_Old_Tawny_Port.png,Porto,W. & J. Graham's,"non oak, oak, dried fruit, earth, microbio, red fruit, spices, black fruit, vegetal, citrus fruit, tree fruit, floral, tropical fruit","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Taylor's 10 Year Old Tawny Port,Portugal,27.99,4.1,images/Taylors_10_Year_Old_Tawny_Port.png,images/bottle_Taylors_10_Year_Old_Tawny_Port.png,Porto,Taylor's,"oak, non oak, dried fruit, earth, black fruit, red fruit, spices, microbio, vegetal, citrus fruit, tree fruit, floral, tropical fruit","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
W. & J. Graham's 20 Year Old Tawny Port,Portugal,59.99,4.4,images/W_J_Grahams_20_Year_Old_Tawny_Port.png,images/bottle_W_J_Grahams_20_Year_Old_Tawny_Port.png,Porto,W. & J. Graham's,"oak, non oak, dried fruit, microbio, earth, citrus fruit, black fruit, spices, red fruit, vegetal, tree fruit, tropical fruit, floral","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
W. & J. Graham's Six Grapes Reserve Port,Portugal,24.98,3.9,images/W_J_Grahams_Six_Grapes_Reserve_Port.png,images/bottle_W_J_Grahams_Six_Grapes_Reserve_Port.png,Porto,W. & J. Graham's,"black fruit, oak, red fruit, dried fruit, non oak, earth, spices, microbio, floral, citrus fruit, tree fruit, vegetal","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Tinta Roriz, Tinta Barroca, Souzao, Touriga Francesa"
Tio Pepe Palomino Fino Sherry (Muy Seco),Spain,12.99,3.3,images/Tio_Pepe_Palomino_Fino_Sherry_Muy_Seco.png,images/bottle_Tio_Pepe_Palomino_Fino_Sherry_Muy_Seco.png,Jerez-Xérès-Sherry,Tio Pepe,"non oak, microbio, earth, oak, vegetal, tree fruit, citrus fruit, spices, dried fruit, floral, tropical fruit, black fruit, red fruit","Shellfish, Mature and hard cheese, Appetizers and snacks, Aperitif, Cured Meat",Palomino
Taylor's 20 Year Old Tawny Port,Portugal,49.98,4.3,images/Taylors_20_Year_Old_Tawny_Port.png,images/bottle_Taylors_20_Year_Old_Tawny_Port.png,Porto,Taylor's,"oak, non oak, dried fruit, earth, microbio, black fruit, spices, red fruit, citrus fruit, vegetal, tree fruit, tropical fruit, floral","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Gonzalez-Byass Nectar Pedro Ximenez Sherry (Dulce),Spain,35.99,4.1,images/Gonzalez_Byass_Nectar_Pedro_Ximenez_Sherry_Dulce.png,images/bottle_Gonzalez_Byass_Nectar_Pedro_Ximenez_Sherry_.png,Jerez-Xérès-Sherry,Gonzalez-Byass,"dried fruit, non oak, oak, earth, black fruit, microbio, spices, red fruit, tree fruit, vegetal, citrus fruit, tropical fruit, floral","Sweet desserts, Blue cheese",Pedro Ximenez
Sandeman Fine Ruby Port,Portugal,17.99,3.9,images/Sandeman_Fine_Ruby_Port.png,images/bottle_Sandeman_Fine_Ruby_Port.png,Porto,Sandeman,"black fruit, red fruit, oak, dried fruit, non oak, earth, spices, microbio, tree fruit, citrus fruit, vegetal, floral, tropical fruit","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Fonseca Bin 27 Reserve Port,Portugal,10.99,3.8,images/Fonseca_Bin_27_Reserve_Port.png,images/bottle_Fonseca_Bin_27_Reserve_Port.png,Porto,Fonseca,"oak, black fruit, non oak, dried fruit, red fruit, spices, earth, microbio, citrus fruit, floral, tree fruit, vegetal, tropical fruit","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Tinta Roriz, Tinta Barroca, Souzao, Touriga Francesa"
