name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Meiomi Pinot Noir,United States,11.99,4.1,images/Meiomi_Pinot_Noir.png,images/bottle_Meiomi_Pinot_Noir.png,California,Meiomi,"oak, red fruit, non oak, spices, black fruit, earth, microbio, dried fruit, vegetal, floral, tree fruit, citrus fruit, tropical fruit","Beef, Veal, Game (deer, venison), Poultry",Pinot Noir
Veuve Clicquot Brut (Carte Jaune) Champagne,France,34.99,4.3,images/Veuve_Clicquot_Brut_Carte_Jaune_Champagne.png,images/bottle_Veuve_Clicquot_Brut_Carte_Jaune_Champagne.png,Champagne,Veuve Clicquot,"tree fruit, citrus fruit, non oak, microbio, oak, earth, vegetal, spices, tropical fruit, red fruit, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Louis Jadot Bourgogne Pinot Noir 1997,France,29.27,3.6,images/Louis_Jadot_Bourgogne_Pinot_Noir_1997.png,images/bottle_Louis_Jadot_Bourgogne_Pinot_Noir_1997.png,Bourgogne,Louis Jadot,"red fruit, earth, oak, non oak, black fruit, spices, microbio, floral, vegetal, citrus fruit, dried fruit, tree fruit, tropical fruit","Beef, Veal, Game (deer, venison), Poultry",Pinot Noir
Château de Beaucastel Châteauneuf-du-Pape 1968,France,565,4.4,images/Chteau_de_Beaucastel_Chteauneuf_du_Pape_1968.png,images/bottle_Chteau_de_Beaucastel_Chteauneuf_du_Pape_196.png,Châteauneuf-du-Pape,Château de Beaucastel,"earth, oak, black fruit, red fruit, spices, non oak, dried fruit, microbio, floral, vegetal, citrus fruit, tree fruit, tropical fruit","Lamb, Pork, Poultry","Shiraz/Syrah, Mourvedre, Counoise, Cinsaut, Vaccareze, Muscardin"
Ogier L'Oratoire des Papes Châteauneuf-du-Pape 1978,France,275,4.2,images/Ogier_LOratoire_des_Papes_Chteauneuf_du_Pape_1978.png,images/bottle_Ogier_LOratoire_des_Papes_Chteauneuf_du_Pap.png,Châteauneuf-du-Pape,Ogier,"oak, red fruit, black fruit, spices, earth, non oak, microbio, dried fruit, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Lamb, Pork, Poultry","Shiraz/Syrah, Mourvedre, Counoise, Cinsaut, Vaccareze, Muscardin"
Laurent-Perrier Cuvée Rosé,France,89.99,4.4,images/Laurent_Perrier_Cuve_Ros.png,images/bottle_Laurent_Perrier_Cuve_Ros.png,Champagne,Laurent-Perrier,"red fruit, microbio, citrus fruit, non oak, oak, tree fruit, earth, vegetal, spices, black fruit, floral, tropical fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Domaine du Vieux Télégraphe Châteauneuf-du-Pape (La Crau) 1980,France,292,4.3,images/Domaine_du_Vieux_Tlgraphe_Chteauneuf_du_Pape_La_Cr.png,images/bottle_Domaine_du_Vieux_Tlgraphe_Chteauneuf_du_Pap.png,Châteauneuf-du-Pape,Domaine du Vieux Télégraphe,"earth, oak, red fruit, black fruit, spices, non oak, dried fruit, microbio, floral, vegetal, citrus fruit, tree fruit, tropical fruit","Lamb, Pork, Poultry","Shiraz/Syrah, Mourvedre, Counoise, Cinsaut, Vaccareze, Muscardin"
Belle Glos Dairyman Vineyard Pinot Noir 2023,United States,33.99,4.4,images/Belle_Glos_Dairyman_Vineyard_Pinot_Noir_2023.png,images/bottle_Belle_Glos_Dairyman_Vineyard_Pinot_Noir_202.png,Russian River Valley,Belle Glos,"oak, red fruit, non oak, spices, black fruit, earth, microbio, dried fruit, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Veal, Pork, Poultry, Mushrooms",Pinot Noir
Moët & Chandon Nectar Impérial (Demi-Sec) Champagne,France,52.99,4.2,images/Mot_Chandon_Nectar_Imprial_Demi_Sec_Champagne.png,images/bottle_Mot_Chandon_Nectar_Imprial_Demi_Sec_Champag.png,Champagne,Moët & Chandon,"tree fruit, earth, microbio, citrus fruit, non oak, oak, tropical fruit, spices, red fruit, vegetal, floral, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Willamette Valley Vineyards Whole Cluster Pinot Noir 2008,United States,32.84,4.1,images/Willamette_Valley_Vineyards_Whole_Cluster_Pinot_No.png,images/bottle_Willamette_Valley_Vineyards_Whole_Cluster_P.png,Willamette Valley,Willamette Valley Vineyards,"red fruit, oak, earth, non oak, spices, black fruit, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Veal, Game (deer, venison), Poultry",Pinot Noir
