name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
The Prisoner Saldo Zinfandel,United States,19.99,4.2,images/The_Prisoner_Saldo_Zinfandel.png,images/bottle_The_Prisoner_Saldo_Zinfandel.png,California,The Prisoner,"oak, black fruit, red fruit, spices, non oak, earth, dried fruit, microbio, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Martini Asti,Italy,11.99,3.8,images/Martini_Asti.png,images/bottle_Martini_Asti.png,Asti,Martini,"tree fruit, earth, citrus fruit, tropical fruit, floral, microbio, non oak, oak, red fruit, spices, vegetal, dried fruit, black fruit","Sweet desserts, Fruity desserts, Aperitif",Moscato
Bruno Paillard Première Cuvée Extra Brut Champagne,France,69.99,4.1,images/Bruno_Paillard_Premire_Cuve_Extra_Brut_Champagne.png,images/bottle_Bruno_Paillard_Premire_Cuve_Extra_Brut_Cham.png,Champagne,Bruno Paillard,"citrus fruit, tree fruit, non oak, microbio, oak, earth, vegetal, red fruit, spices, floral, tropical fruit, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Michele Chiarlo Moscato d'Asti Nivole,Italy,11.99,4.2,images/Michele_Chiarlo_Moscato_dAsti_Nivole.png,images/bottle_Michele_Chiarlo_Moscato_dAsti_Nivole.png,Moscato d'Asti,Michele Chiarlo,"tree fruit, earth, citrus fruit, floral, tropical fruit, microbio, oak, spices, non oak, red fruit, vegetal, dried fruit, black fruit","Fruity desserts, Aperitif",Moscatel de grano menudo
Joel Gott Zinfandel 2006,United States,22.84,3.8,images/Joel_Gott_Zinfandel_2006.png,images/bottle_Joel_Gott_Zinfandel_2006.png,California,Joel Gott,"oak, black fruit, red fruit, spices, non oak, earth, dried fruit, microbio, vegetal, citrus fruit, tree fruit, floral, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Marietta Old Vine Red (OVR),United States,15.99,3.7,images/Marietta_Old_Vine_Red_OVR.png,images/bottle_Marietta_Old_Vine_Red_OVR.png,California,Marietta,"red fruit, black fruit, oak, spices, earth, non oak, dried fruit, microbio, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Edmeades Mendocino County Zinfandel 2006,United States,22.99,3.9,images/Edmeades_Mendocino_County_Zinfandel_2006.png,images/bottle_Edmeades_Mendocino_County_Zinfandel_2006.png,Mendocino County,Edmeades,"oak, black fruit, red fruit, non oak, spices, earth, dried fruit, microbio, floral, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Robert Biale Vineyards Black Chicken Zinfandel 2023,United States,55,4.3,images/Robert_Biale_Vineyards_Black_Chicken_Zinfandel_202.png,images/bottle_Robert_Biale_Vineyards_Black_Chicken_Zinfan.png,Napa Valley,Robert Biale Vineyards,"black fruit, oak, red fruit, spices, non oak, earth, dried fruit, microbio, floral, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Gancia Asti,Italy,18.69,3.9,images/Gancia_Asti.png,images/bottle_Gancia_Asti.png,Asti,Gancia,"tree fruit, earth, citrus fruit, microbio, tropical fruit, spices, oak, floral, non oak, red fruit, dried fruit, vegetal, black fruit","Sweet desserts, Fruity desserts, Aperitif",Moscato
Chartogne-Taillet Sainte Anne Brut,France,49.99,4,images/Chartogne_Taillet_Sainte_Anne_Brut.png,images/bottle_Chartogne_Taillet_Sainte_Anne_Brut.png,Champagne,Chartogne-Taillet,"tree fruit, non oak, citrus fruit, oak, microbio, earth, vegetal, spices, floral, red fruit, tropical fruit, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
