name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Alain Graillot Crozes-Hermitage Blanc 2023,France,52.99,3.9,images/Alain_Graillot_Crozes_Hermitage_Blanc_2023.png,images/bottle_Alain_Graillot_Crozes_Hermitage_Blanc_2023.png,Crozes-Hermitage,Alain Graillot,"earth, oak, tree fruit, spices, non oak, microbio, black fruit, citrus fruit, red fruit, vegetal, floral, tropical fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Mature and hard cheese, Poultry, Cured Meat","Viognier, Roussanne, Marsanne"
Terramore Nero d'Avola 2023,Italy,14.97,3.5,images/Terramore_Nero_dAvola_2023.png,images/bottle_Terramore_Nero_dAvola_2023.png,Terre Siciliane,Terramore,"red fruit, black fruit, earth, oak, non oak, spices, microbio, vegetal, dried fruit, citrus fruit, tree fruit, floral","Beef, Pasta, Lamb","Primitivo, Aglianico, Negroamaro, Nero d'Avola"
COS Cerasuolo di Vittoria Classico 2014,Italy,20.84,4,images/COS_Cerasuolo_di_Vittoria_Classico_2014.png,images/bottle_COS_Cerasuolo_di_Vittoria_Classico_2014.png,Cerasuolo di Vittoria,COS,"red fruit, earth, oak, black fruit, non oak, spices, microbio, vegetal, floral, dried fruit, citrus fruit, tree fruit, tropical fruit","Beef, Pasta, Lamb","Primitivo, Aglianico, Negroamaro, Nero d'Avola"
Zantho Blaufränkisch 2022,Austria,13.99,3.7,images/Zantho_Blaufrnkisch_2022.png,images/bottle_Zantho_Blaufrnkisch_2022.png,Burgenland,Zantho,"black fruit, earth, oak, red fruit, spices, non oak, microbio, floral, citrus fruit, tree fruit","Beef, Pasta, Poultry",Blaufränkisch
Feudo Maccari Saia 2016,Italy,34.99,4,images/Feudo_Maccari_Saia_2016.png,images/bottle_Feudo_Maccari_Saia_2016.png,Terre Siciliane,Feudo Maccari,"oak, black fruit, earth, red fruit, non oak, spices, dried fruit, microbio, floral, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Pasta, Lamb","Primitivo, Aglianico, Negroamaro, Nero d'Avola"
Gulfi Nerojbleo 2009,Italy,16.21,3.8,images/Gulfi_Nerojbleo_2009.png,images/bottle_Gulfi_Nerojbleo_2009.png,Terre Siciliane,Gulfi,"oak, black fruit, red fruit, earth, non oak, spices, dried fruit, microbio, floral, vegetal, citrus fruit, tree fruit","Beef, Pasta, Lamb","Primitivo, Aglianico, Negroamaro, Nero d'Avola"
Purato Rosé 2023,Italy,11.99,3.5,images/Purato_Ros_2023.png,images/bottle_Purato_Ros_2023.png,Terre Siciliane,Purato,"red fruit, vegetal, citrus fruit, earth, black fruit, spices, non oak, oak, dried fruit, tree fruit, microbio, floral","Rich fish (salmon, tuna etc), Shellfish, Appetizers and snacks, Goat's Milk Cheese",
Tenute Orestiadi Molino a Vento Nero d'Avola 2018,Italy,15.04,3.6,images/Tenute_Orestiadi_Molino_a_Vento_Nero_dAvola_2018.png,images/bottle_Tenute_Orestiadi_Molino_a_Vento_Nero_dAvola.png,Terre Siciliane,Tenute Orestiadi,"red fruit, black fruit, earth, oak, spices, non oak, microbio, dried fruit, floral, tree fruit","Beef, Pasta, Lamb","Primitivo, Aglianico, Negroamaro, Nero d'Avola"
Calea Nero d'Avola 2024,Italy,12.99,3.7,images/Calea_Nero_dAvola_2024.png,images/bottle_Calea_Nero_dAvola_2024.png,Terre Siciliane,Calea,"red fruit, black fruit, oak, earth, non oak, spices, dried fruit, microbio, floral","Beef, Pasta, Lamb","Primitivo, Aglianico, Negroamaro, Nero d'Avola"
Fabrizio Vella Rosso Organico 2024,Italy,12.99,3.5,images/Fabrizio_Vella_Rosso_Organico_2024.png,images/bottle_Fabrizio_Vella_Rosso_Organico_2024.png,Sicilia,Fabrizio Vella,"red fruit, earth, oak, black fruit, spices, non oak, microbio, tree fruit, citrus fruit","Beef, Pasta, Lamb","Primitivo, Aglianico, Negroamaro, Nero d'Avola"
