name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Freixenet Cava Carta Nevada Brut,Spain,10.99,3.6,images/Freixenet_Cava_Carta_Nevada_Brut.png,images/bottle_Freixenet_Cava_Carta_Nevada_Brut.png,Cava,Freixenet,"tree fruit, citrus fruit, earth, microbio, non oak, oak, tropical fruit, vegetal, red fruit, spices, black fruit, floral, dried fruit","Shellfish, Appetizers and snacks, Lean fish, Aperitif, Cured Meat","Xarel-lo, Parellada, Trepat, Viura"
Barba Vasari Montepulciano d'Abruzzo 2023,Italy,10.97,3.7,images/Barba_Vasari_Montepulciano_dAbruzzo_2023.png,images/bottle_Barba_Vasari_Montepulciano_dAbruzzo_2023.png,Montepulciano d'Abruzzo,Barba,"red fruit, oak, black fruit, earth, non oak, spices, microbio, vegetal, dried fruit, citrus fruit, floral, tropical fruit","Beef, Pasta, Veal, Pork",Montepulciano
Bohigas Reserva Cava Brut,Spain,17.99,3.8,images/Bohigas_Reserva_Cava_Brut.png,images/bottle_Bohigas_Reserva_Cava_Brut.png,Cava,Bohigas,"tree fruit, citrus fruit, microbio, non oak, earth, oak, vegetal, tropical fruit, spices, floral, dried fruit, red fruit","Shellfish, Appetizers and snacks, Lean fish, Aperitif, Cured Meat","Xarel-lo, Parellada, Trepat, Viura"
Allegrini Palazzo della Torre 2018,Italy,19.99,4,images/Allegrini_Palazzo_della_Torre_2018.png,images/bottle_Allegrini_Palazzo_della_Torre_2018.png,Verona,Allegrini,"oak, earth, black fruit, red fruit, non oak, spices, dried fruit, microbio, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Pasta, Lamb, Game (deer, venison)","Nebbiolo, Barbera, Dolcetto"
Barba I Vasari Old Vines Montepulciano d'Abruzzo 2022,Italy,19.99,3.8,images/Barba_I_Vasari_Old_Vines_Montepulciano_dAbruzzo_20.png,images/bottle_Barba_I_Vasari_Old_Vines_Montepulciano_dAbr.png,Montepulciano d'Abruzzo,Barba,"red fruit, black fruit, earth, oak, spices, non oak, microbio, floral, vegetal, dried fruit, tree fruit, citrus fruit","Beef, Pasta, Veal, Pork",Montepulciano
Poema Cava Brut,Spain,12.99,3.6,images/Poema_Cava_Brut.png,images/bottle_Poema_Cava_Brut.png,Cava,Poema,"tree fruit, citrus fruit, earth, microbio, non oak, oak, vegetal, tropical fruit, spices, red fruit, floral, black fruit, dried fruit","Shellfish, Appetizers and snacks, Lean fish, Aperitif, Cured Meat","Xarel-lo, Parellada, Trepat, Viura"
Cartuxa Évora Colheita Tinto 2019,Portugal,27.99,4.3,images/Cartuxa_vora_Colheita_Tinto_2019.png,images/bottle_Cartuxa_vora_Colheita_Tinto_2019.png,Evora,Cartuxa,"oak, black fruit, non oak, earth, spices, red fruit, dried fruit, microbio, floral, tree fruit, citrus fruit, vegetal, tropical fruit","Beef, Lamb, Veal, Poultry","Aragonez, Castelao, Trincadeira"
Raventós i Blanc Blanc de Blancs 2021,Spain,20.99,4,images/Ravents_i_Blanc_Blanc_de_Blancs_2021.png,images/bottle_Ravents_i_Blanc_Blanc_de_Blancs_2021.png,Penedès,Raventós i Blanc,"tree fruit, citrus fruit, microbio, earth, non oak, oak, vegetal, spices, tropical fruit, floral, red fruit, black fruit","Shellfish, Appetizers and snacks, Lean fish, Aperitif, Cured Meat","Xarel-lo, Parellada, Trepat, Viura"
Gramona Imperial Brut 2017,Spain,39.99,4.2,images/Gramona_Imperial_Brut_2017.png,images/bottle_Gramona_Imperial_Brut_2017.png,Cava,Gramona,"tree fruit, citrus fruit, microbio, non oak, oak, earth, vegetal, spices, tropical fruit, floral, dried fruit, red fruit, black fruit","Shellfish, Appetizers and snacks, Lean fish, Aperitif, Cured Meat","Xarel-lo, Parellada, Trepat, Viura"
Barba Vignafranca Montepulciano d'Abruzzo 2022,Italy,17.97,3.7,images/Barba_Vignafranca_Montepulciano_dAbruzzo_2022.png,images/bottle_Barba_Vignafranca_Montepulciano_dAbruzzo_20.png,Montepulciano d'Abruzzo,Barba,"red fruit, oak, earth, non oak, black fruit, spices, tree fruit, citrus fruit, floral, microbio, dried fruit, vegetal","Beef, Pasta, Veal, Pork",Montepulciano
Montresor Valpolicella Il Veronese 2023,Italy,16.97,3.7,images/Montresor_Valpolicella_Il_Veronese_2023.png,images/bottle_Montresor_Valpolicella_Il_Veronese_2023.png,Veneto,Montresor,"oak, red fruit, non oak, spices, earth, black fruit, microbio, dried fruit, floral, vegetal, citrus fruit","Beef, Pasta, Lamb, Game (deer, venison)","Nebbiolo, Barbera, Dolcetto"
Bertani Recioto della Valpolicella Classico Superiore 1961,Italy,700,4.5,images/Bertani_Recioto_della_Valpolicella_Classico_Superi.png,images/bottle_Bertani_Recioto_della_Valpolicella_Classico.png,Recioto della Valpolicella,Bertani,"oak, dried fruit, earth, non oak, black fruit, spices, red fruit, microbio, floral, vegetal, tropical fruit, citrus fruit",,
Illuminati Montepulciano d'Abruzzo Riparosso 2018,Italy,69.99,3.6,images/Illuminati_Montepulciano_dAbruzzo_Riparosso_2018.png,images/bottle_Illuminati_Montepulciano_dAbruzzo_Riparosso.png,Montepulciano d'Abruzzo,Illuminati,"oak, red fruit, black fruit, earth, non oak, spices, microbio, vegetal, floral, dried fruit, citrus fruit, tree fruit","Beef, Pasta, Veal, Pork",Montepulciano
Barone Cornacchia Montepulciano d'Abruzzo 2018,Italy,27.99,3.4,images/Barone_Cornacchia_Montepulciano_dAbruzzo_2018.png,images/bottle_Barone_Cornacchia_Montepulciano_dAbruzzo_20.png,Montepulciano d'Abruzzo,Barone Cornacchia,"earth, oak, black fruit, red fruit, non oak, spices, microbio, dried fruit, citrus fruit, vegetal","Beef, Pasta, Veal, Pork",Montepulciano
Capostrano / Capestrano Montepulciano d'Abruzzo 2022,Italy,17.99,3.5,images/Capostrano_Capestrano_Montepulciano_dAbruzzo_2022.png,images/bottle_Capostrano_Capestrano_Montepulciano_dAbruzz.png,Montepulciano d'Abruzzo,Capostrano / Capestrano,"red fruit, earth, black fruit, oak, non oak, dried fruit, vegetal, microbio, spices, tree fruit","Beef, Pasta, Veal, Pork",Montepulciano
Lunaria Pettirosce Cerasuolo d'Abruzzo 2024,Italy,19.99,3.7,images/Lunaria_Pettirosce_Cerasuolo_dAbruzzo_2024.png,images/bottle_Lunaria_Pettirosce_Cerasuolo_dAbruzzo_2024.png,Cerasuolo d'Abruzzo,Lunaria,"red fruit, earth, citrus fruit, non oak, oak, tree fruit, vegetal, microbio, spices, floral, dried fruit, black fruit, tropical fruit","Shellfish, Appetizers and snacks, Lean fish, Mild and soft cheese",Montepulciano
Cora Montepulciano 2022,Italy,12,3.7,images/Cora_Montepulciano_2022.png,images/bottle_Cora_Montepulciano_2022.png,Montepulciano d'Abruzzo,Cora,"red fruit, oak, earth, black fruit, spices, non oak, microbio, citrus fruit, vegetal","Beef, Pasta, Veal, Pork",Montepulciano
