name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Mar de Frades Albariño Atlantico 2022,Spain,22.99,4.2,images/Mar_de_Frades_Albario_Atlantico_2022.png,images/bottle_Mar_de_Frades_Albario_Atlantico_2022.png,Rías Baixas,Mar de Frades,"citrus fruit, tree fruit, earth, tropical fruit, vegetal, microbio, oak, spices, non oak, floral, red fruit, black fruit, dried fruit","Pasta, Shellfish, Vegetarian, Appetizers and snacks, Lean fish",Albariño
Domaine du Pelican Arbois Savagnin Ouillé 2023,France,50,4.1,images/Domaine_du_Pelican_Arbois_Savagnin_Ouill_2023.png,images/bottle_Domaine_du_Pelican_Arbois_Savagnin_Ouill_20.png,Jura,Domaine du Pelican,"citrus fruit, earth, tree fruit, oak, microbio, non oak, vegetal, spices, tropical fruit, floral, dried fruit, red fruit, black fruit","Mature and hard cheese, Poultry, Mushrooms, Mild and soft cheese",Chardonnay
Soalheiro Alvarinho 2023,Portugal,21.99,4.1,images/Soalheiro_Alvarinho_2023.png,images/bottle_Soalheiro_Alvarinho_2023.png,Monção e Melgaço,Soalheiro,"tree fruit, citrus fruit, earth, tropical fruit, vegetal, microbio, oak, spices, floral, non oak, red fruit, black fruit, dried fruit","Shellfish, Vegetarian, Appetizers and snacks","Arinto de Bucelas, Loureiro, Alvarinho, Azal, Avesso, Batoca"
Montevetrano Core Campania Rosso 1995,Italy,139,3.8,images/Montevetrano_Core_Campania_Rosso_1995.png,images/bottle_Montevetrano_Core_Campania_Rosso_1995.png,Campania,Montevetrano,"oak, black fruit, earth, red fruit, non oak, spices, microbio, dried fruit, floral, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Pasta, Lamb","Primitivo, Aglianico, Negroamaro, Nero d'Avola"
Leone de Castris Five Roses 2024,Italy,21.99,3.9,images/Leone_de_Castris_Five_Roses_2024.png,images/bottle_Leone_de_Castris_Five_Roses_2024.png,Salento,Leone de Castris,"red fruit, citrus fruit, earth, tree fruit, spices, floral, microbio, oak, vegetal, non oak, tropical fruit","Rich fish (salmon, tuna etc), Shellfish, Appetizers and snacks, Goat's Milk Cheese",
Bodega Garzón Reserva Albariño 2021,Uruguay,15,3.9,images/Bodega_Garzn_Reserva_Albario_2021.png,images/bottle_Bodega_Garzn_Reserva_Albario_2021.png,Maldonado,Bodega Garzón,"tree fruit, citrus fruit, earth, tropical fruit, microbio, oak, vegetal, non oak, spices, floral, dried fruit, black fruit, red fruit",,
Anselmo Mendes Contacto Alvarinho 2020,Portugal,42.99,3.8,images/Anselmo_Mendes_Contacto_Alvarinho_2020.png,images/bottle_Anselmo_Mendes_Contacto_Alvarinho_2020.png,Monção e Melgaço,Anselmo Mendes,"citrus fruit, tree fruit, earth, tropical fruit, vegetal, microbio, oak, floral, spices, non oak, red fruit, black fruit, dried fruit","Shellfish, Vegetarian, Appetizers and snacks","Arinto de Bucelas, Loureiro, Alvarinho, Azal, Avesso, Batoca"
Ramos Pinto Ruby Port,Portugal,16.99,3.6,images/Ramos_Pinto_Ruby_Port.png,images/bottle_Ramos_Pinto_Ruby_Port.png,Porto,Ramos Pinto,"oak, red fruit, black fruit, non oak, earth, spices, dried fruit, microbio, vegetal, tree fruit, floral","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Benito Santos Igrexario de Saiar Albariño 2023,Spain,22,3.8,images/Benito_Santos_Igrexario_de_Saiar_Albario_2023.png,images/bottle_Benito_Santos_Igrexario_de_Saiar_Albario_20.png,Rías Baixas,Benito Santos,"citrus fruit, tree fruit, earth, tropical fruit, vegetal, microbio, non oak, oak, floral, spices, red fruit, dried fruit","Pasta, Shellfish, Vegetarian, Appetizers and snacks, Lean fish",Albariño
Zárate Balado Albariño 2023,Spain,59.99,4,images/Zrate_Balado_Albario_2023.png,images/bottle_Zrate_Balado_Albario_2023.png,Rías Baixas,Zárate,"citrus fruit, tree fruit, earth, microbio, oak, non oak, tropical fruit, spices, floral, vegetal, dried fruit, red fruit","Pasta, Shellfish, Vegetarian, Appetizers and snacks, Lean fish",Albariño
Jean Macle Château-Chalon 1992,France,415,4.3,images/Jean_Macle_Chteau_Chalon_1992.png,images/bottle_Jean_Macle_Chteau_Chalon_1992.png,Château-Chalon,Jean Macle,"non oak, microbio, oak, vegetal, earth, tree fruit, citrus fruit, dried fruit, spices, tropical fruit, black fruit, floral","Mature and hard cheese, Poultry, Mushrooms, Mild and soft cheese",Chardonnay
Lagar de Cervera Albariño 2022,Spain,25,4,images/Lagar_de_Cervera_Albario_2022.png,images/bottle_Lagar_de_Cervera_Albario_2022.png,Rías Baixas,Lagar de Cervera,"tree fruit, citrus fruit, earth, tropical fruit, microbio, vegetal, oak, floral, non oak, spices, red fruit, dried fruit, black fruit","Pasta, Shellfish, Vegetarian, Appetizers and snacks, Lean fish",Albariño
Eidosela Neboa Albarino 2024,Spain,19.99,4,images/Eidosela_Neboa_Albarino_2024.png,images/bottle_Eidosela_Neboa_Albarino_2024.png,Rías Baixas,Eidosela,"citrus fruit, tree fruit, earth, microbio, tropical fruit, vegetal, floral, oak, spices, non oak, dried fruit","Pasta, Shellfish, Vegetarian, Appetizers and snacks, Lean fish",Albariño
