name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
The Prisoner Saldo Zinfandel,United States,19.99,4.2,images/The_Prisoner_Saldo_Zinfandel.png,images/bottle_The_Prisoner_Saldo_Zinfandel.png,California,The Prisoner,"oak, black fruit, red fruit, spices, non oak, earth, dried fruit, microbio, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Joel Gott Zinfandel 2006,United States,22.84,3.8,images/Joel_Gott_Zinfandel_2006.png,images/bottle_Joel_Gott_Zinfandel_2006.png,California,Joel Gott,"oak, black fruit, red fruit, spices, non oak, earth, dried fruit, microbio, vegetal, citrus fruit, tree fruit, floral, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Marietta Old Vine Red (OVR),United States,15.99,3.7,images/Marietta_Old_Vine_Red_OVR.png,images/bottle_Marietta_Old_Vine_Red_OVR.png,California,Marietta,"red fruit, black fruit, oak, spices, earth, non oak, dried fruit, microbio, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Edmeades Mendocino County Zinfandel 2006,United States,22.99,3.9,images/Edmeades_Mendocino_County_Zinfandel_2006.png,images/bottle_Edmeades_Mendocino_County_Zinfandel_2006.png,Mendocino County,Edmeades,"oak, black fruit, red fruit, non oak, spices, earth, dried fruit, microbio, floral, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Robert Biale Vineyards Black Chicken Zinfandel 2023,United States,55,4.3,images/Robert_Biale_Vineyards_Black_Chicken_Zinfandel_202.png,images/bottle_Robert_Biale_Vineyards_Black_Chicken_Zinfan.png,Napa Valley,Robert Biale Vineyards,"black fruit, oak, red fruit, spices, non oak, earth, dried fruit, microbio, floral, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Gnarly Head Old Vine Zinfandel 2018,United States,12.84,3.8,images/Gnarly_Head_Old_Vine_Zinfandel_2018.png,images/bottle_Gnarly_Head_Old_Vine_Zinfandel_2018.png,Lodi,Gnarly Head,"oak, black fruit, spices, non oak, red fruit, earth, dried fruit, microbio, vegetal, floral, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Grgich Hills Zinfandel 1996,United States,125,4,images/Grgich_Hills_Zinfandel_1996.png,images/bottle_Grgich_Hills_Zinfandel_1996.png,Napa Valley,Grgich Hills,"black fruit, red fruit, oak, spices, earth, non oak, dried fruit, microbio, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Château Graville-Lacoste Graves Blanc 2024,France,22.99,3.9,images/Chteau_Graville_Lacoste_Graves_Blanc_2024.png,images/bottle_Chteau_Graville_Lacoste_Graves_Blanc_2024.png,Graves,Château Graville-Lacoste,"citrus fruit, tree fruit, earth, vegetal, tropical fruit, microbio, oak, floral, spices, non oak, red fruit, black fruit, dried fruit","Pork, Vegetarian, Poultry, Appetizers and snacks, Lean fish","Sauvignon Blanc, Sémillon, Muscadelle"
7 Deadly Wines 7 Deadly Zins Old Vine Zinfandel 2016,United States,11.99,3.8,images/7_Deadly_Wines_7_Deadly_Zins_Old_Vine_Zinfandel_20.png,images/bottle_7_Deadly_Wines_7_Deadly_Zins_Old_Vine_Zinfa.png,Lodi,7 Deadly Wines,"oak, black fruit, non oak, earth, red fruit, spices, dried fruit, microbio, vegetal, floral, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Carol Shelton Wild Thing Old Vine Zinfandel 2022,United States,18.99,3.9,images/Carol_Shelton_Wild_Thing_Old_Vine_Zinfandel_2022.png,images/bottle_Carol_Shelton_Wild_Thing_Old_Vine_Zinfandel.png,Mendocino County,Carol Shelton,"red fruit, oak, black fruit, spices, non oak, earth, microbio, dried fruit, vegetal, floral, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Seghesio Sonoma Zinfandel 2019,United States,29.99,4.1,images/Seghesio_Sonoma_Zinfandel_2019.png,images/bottle_Seghesio_Sonoma_Zinfandel_2019.png,Sonoma County,Seghesio,"black fruit, oak, spices, red fruit, non oak, earth, dried fruit, microbio, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Ridge Vineyards Pagani Ranch Zinfandel 2001,United States,199,4.2,images/Ridge_Vineyards_Pagani_Ranch_Zinfandel_2001.png,images/bottle_Ridge_Vineyards_Pagani_Ranch_Zinfandel_2001.png,Sonoma Valley,Ridge Vineyards,"oak, black fruit, red fruit, non oak, spices, earth, dried fruit, microbio, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Carnivor Zinfandel 2015,United States,12.99,3.8,images/Carnivor_Zinfandel_2015.png,images/bottle_Carnivor_Zinfandel_2015.png,California,Carnivor,"oak, black fruit, non oak, red fruit, spices, earth, dried fruit, microbio, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Ravenswood Old Vine Zinfandel 2022,United States,42,3.8,images/Ravenswood_Old_Vine_Zinfandel_2022.png,images/bottle_Ravenswood_Old_Vine_Zinfandel_2022.png,Napa Valley,Ravenswood,"oak, black fruit, red fruit, non oak, spices, earth, microbio, dried fruit, vegetal, tree fruit, floral, citrus fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Santa Margherita Pinot Grigio Valdadige 2022,Italy,13.99,4,images/Santa_Margherita_Pinot_Grigio_Valdadige_2022.png,images/bottle_Santa_Margherita_Pinot_Grigio_Valdadige_202.png,Valdadige,Santa Margherita,"tree fruit, citrus fruit, earth, vegetal, microbio, oak, tropical fruit, non oak, floral, spices, red fruit, black fruit, dried fruit","Shellfish, Vegetarian, Mushrooms, Aperitif",Pinot Grigio
Chateau Montelena Zinfandel 1973,United States,369,4.1,images/Chateau_Montelena_Zinfandel_1973.png,images/bottle_Chateau_Montelena_Zinfandel_1973.png,Calistoga,Chateau Montelena,"oak, black fruit, non oak, spices, red fruit, earth, dried fruit, microbio, floral, vegetal, tropical fruit, citrus fruit, tree fruit","Beef, Lamb, Poultry",Zinfandel
Jean Foillard Morgon 'Cuvée Corcelette' 2023,France,59,4.2,images/Jean_Foillard_Morgon_Cuve_Corcelette_2023.png,images/bottle_Jean_Foillard_Morgon_Cuve_Corcelette_2023.png,Morgon,Jean Foillard,"red fruit, earth, oak, non oak, spices, black fruit, floral, vegetal, microbio, citrus fruit, dried fruit, tropical fruit, tree fruit","Pasta, Veal, Pork, Poultry, Cured Meat",Gamay
Opolo Summit Creek Zinfandel 2009,United States,62.99,3.8,images/Opolo_Summit_Creek_Zinfandel_2009.png,images/bottle_Opolo_Summit_Creek_Zinfandel_2009.png,Paso Robles,Opolo,"oak, black fruit, red fruit, non oak, spices, earth, dried fruit, microbio, vegetal, citrus fruit, floral, tree fruit","Beef, Lamb, Poultry",Zinfandel
Mezzacorona Pinot Grigio Trentino 2018,Italy,12.98,3.7,images/Mezzacorona_Pinot_Grigio_Trentino_2018.png,images/bottle_Mezzacorona_Pinot_Grigio_Trentino_2018.png,Trentino,Mezzacorona,"tree fruit, citrus fruit, earth, vegetal, microbio, oak, tropical fruit, floral, non oak, spices, red fruit, black fruit, dried fruit","Shellfish, Vegetarian, Mushrooms, Aperitif",Pinot Grigio
