name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Marqués de Riscal Reserva 1960,Spain,445,4.1,images/Marqus_de_Riscal_Reserva_1960.png,images/bottle_Marqus_de_Riscal_Reserva_1960.png,Rioja,Marqués de Riscal,"oak, earth, non oak, spices, black fruit, red fruit, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Veal, Poultry","Tempranillo, Graciano, Garnacha"
Caymus Vineyards Cabernet Sauvignon 1973,United States,849,4.6,images/Caymus_Vineyards_Cabernet_Sauvignon_1973.png,images/bottle_Caymus_Vineyards_Cabernet_Sauvignon_1973.png,Napa Valley,Caymus Vineyards,"oak, black fruit, non oak, spices, red fruit, earth, microbio, dried fruit, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Mature and hard cheese, Poultry",Cabernet Sauvignon
Meiomi Pinot Noir,United States,11.99,4.1,images/Meiomi_Pinot_Noir.png,images/bottle_Meiomi_Pinot_Noir.png,California,Meiomi,"oak, red fruit, non oak, spices, black fruit, earth, microbio, dried fruit, vegetal, floral, tree fruit, citrus fruit, tropical fruit","Beef, Veal, Game (deer, venison), Poultry",Pinot Noir
J. Lohr Vineyards & Wines Estates Seven Oaks Cabernet Sauvignon 2023,United States,14.99,4,images/J_Lohr_Vineyards_Wines_Estates_Seven_Oaks_Cabernet.png,images/bottle_J_Lohr_Vineyards_Wines_Estates_Seven_Oaks_C.png,Paso Robles,J. Lohr Vineyards & Wines,"oak, black fruit, red fruit, non oak, spices, earth, microbio, dried fruit, vegetal, tree fruit, floral, citrus fruit, tropical fruit","Beef, Lamb, Game (deer, venison)",Cabernet Sauvignon
Fantini Edizione Cinque Autoctoni,Italy,27.99,4.3,images/Fantini_Edizione_Cinque_Autoctoni.png,images/bottle_Fantini_Edizione_Cinque_Autoctoni.png,Abruzzo,Fantini,"oak, black fruit, non oak, spices, red fruit, earth, dried fruit, microbio, floral, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Pasta, Veal, Poultry","Sangiovese, Montepulciano"
Decoy Cabernet Sauvignon 2023,United States,17.99,4,images/Decoy_Cabernet_Sauvignon_2023.png,images/bottle_Decoy_Cabernet_Sauvignon_2023.png,California,Decoy,"oak, black fruit, red fruit, non oak, spices, earth, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry",Cabernet Sauvignon
Beringer Knights Valley Cabernet Sauvignon 1982,United States,178,4.1,images/Beringer_Knights_Valley_Cabernet_Sauvignon_1982.png,images/bottle_Beringer_Knights_Valley_Cabernet_Sauvignon_.png,Knights Valley,Beringer,"oak, black fruit, non oak, spices, red fruit, earth, microbio, dried fruit, vegetal, floral, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Game (deer, venison)",Cabernet Sauvignon
Château Talbot Saint-Julien (Grand Cru Classé) 1969,France,170,4.2,images/Chteau_Talbot_Saint_Julien_Grand_Cru_Class_1969.png,images/bottle_Chteau_Talbot_Saint_Julien_Grand_Cru_Class_.png,Saint-Julien,Château Talbot,"oak, earth, black fruit, non oak, spices, red fruit, microbio, dried fruit, floral, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry","Cabernet Sauvignon, Cabernet Franc, Malbec, Merlot, Petit Verdot, Carménère"
Louis Jadot Bourgogne Pinot Noir 1997,France,29.27,3.6,images/Louis_Jadot_Bourgogne_Pinot_Noir_1997.png,images/bottle_Louis_Jadot_Bourgogne_Pinot_Noir_1997.png,Bourgogne,Louis Jadot,"red fruit, earth, oak, non oak, black fruit, spices, microbio, floral, vegetal, citrus fruit, dried fruit, tree fruit, tropical fruit","Beef, Veal, Game (deer, venison), Poultry",Pinot Noir
Château de Beaucastel Châteauneuf-du-Pape 1968,France,565,4.4,images/Chteau_de_Beaucastel_Chteauneuf_du_Pape_1968.png,images/bottle_Chteau_de_Beaucastel_Chteauneuf_du_Pape_196.png,Châteauneuf-du-Pape,Château de Beaucastel,"earth, oak, black fruit, red fruit, spices, non oak, dried fruit, microbio, floral, vegetal, citrus fruit, tree fruit, tropical fruit","Lamb, Pork, Poultry","Shiraz/Syrah, Mourvedre, Counoise, Cinsaut, Vaccareze, Muscardin"
