name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Veuve Clicquot Brut (Carte Jaune) Champagne,France,34.99,4.3,images/Veuve_Clicquot_Brut_Carte_Jaune_Champagne.png,images/bottle_Veuve_Clicquot_Brut_Carte_Jaune_Champagne.png,Champagne,Veuve Clicquot,"tree fruit, citrus fruit, non oak, microbio, oak, earth, vegetal, spices, tropical fruit, red fruit, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Moët & Chandon Impérial Brut Champagne,France,29.99,4.1,images/Mot_Chandon_Imprial_Brut_Champagne.png,images/bottle_Mot_Chandon_Imprial_Brut_Champagne.png,Champagne,Moët & Chandon,"tree fruit, citrus fruit, non oak, microbio, oak, earth, vegetal, spices, red fruit, tropical fruit, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Bollinger Special Cuvée Brut Aÿ Champagne,France,69.99,4.3,images/Bollinger_Special_Cuve_Brut_A_Champagne.png,images/bottle_Bollinger_Special_Cuve_Brut_A_Champagne.png,Champagne,Bollinger,"tree fruit, non oak, microbio, oak, citrus fruit, earth, vegetal, spices, red fruit, tropical fruit, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Laurent-Perrier La Cuvée Brut Champagne,France,49.99,4.1,images/Laurent_Perrier_La_Cuve_Brut_Champagne.png,images/bottle_Laurent_Perrier_La_Cuve_Brut_Champagne.png,Champagne,Laurent-Perrier,"citrus fruit, tree fruit, non oak, microbio, oak, earth, vegetal, spices, tropical fruit, floral, red fruit, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Louis Roederer Brut Premier Champagne,France,64.61,4.2,images/Louis_Roederer_Brut_Premier_Champagne.png,images/bottle_Louis_Roederer_Brut_Premier_Champagne.png,Champagne Premier Cru,Louis Roederer,"tree fruit, non oak, citrus fruit, microbio, oak, earth, vegetal, spices, tropical fruit, red fruit, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Perrier-Jouët Grand Brut Champagne,France,32,4.2,images/Perrier_Jout_Grand_Brut_Champagne.png,images/bottle_Perrier_Jout_Grand_Brut_Champagne.png,Champagne,Perrier-Jouët,"tree fruit, citrus fruit, non oak, microbio, oak, earth, vegetal, spices, floral, tropical fruit, red fruit, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Ruinart Blanc de Blancs Brut Champagne,France,59.99,4.4,images/Ruinart_Blanc_de_Blancs_Brut_Champagne.png,images/bottle_Ruinart_Blanc_de_Blancs_Brut_Champagne.png,Champagne,Ruinart,"tree fruit, citrus fruit, microbio, non oak, oak, earth, vegetal, tropical fruit, spices, floral, red fruit, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Pol Roger Réserve Brut Champagne,France,35,4.2,images/Pol_Roger_Rserve_Brut_Champagne.png,images/bottle_Pol_Roger_Rserve_Brut_Champagne.png,Champagne,Pol Roger,"tree fruit, non oak, citrus fruit, microbio, oak, earth, vegetal, spices, floral, tropical fruit, red fruit, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Laurent-Perrier Cuvée Rosé,France,80.75,4.4,images/Laurent_Perrier_Cuve_Ros.png,images/bottle_Laurent_Perrier_Cuve_Ros.png,Champagne,Laurent-Perrier,"red fruit, microbio, citrus fruit, non oak, oak, tree fruit, earth, vegetal, spices, black fruit, floral, tropical fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Pommery Royal Brut Champagne,France,29.99,3.9,images/Pommery_Royal_Brut_Champagne.png,images/bottle_Pommery_Royal_Brut_Champagne.png,Champagne,Pommery,"tree fruit, non oak, citrus fruit, microbio, oak, earth, vegetal, spices, red fruit, tropical fruit, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
