name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Joel Gott Sauvignon Blanc 2006,United States,18.56,3.7,images/Joel_Gott_Sauvignon_Blanc_2006.png,images/bottle_Joel_Gott_Sauvignon_Blanc_2006.png,California,Joel Gott,"citrus fruit, tree fruit, tropical fruit, earth, oak, vegetal, microbio, spices, non oak, floral, red fruit, black fruit, dried fruit","Shellfish, Vegetarian, Goat's Milk Cheese",Sauvignon Blanc
Kia Ora Sauvignon Blanc 2024,New Zealand,13.97,4,images/Kia_Ora_Sauvignon_Blanc_2024.png,images/bottle_Kia_Ora_Sauvignon_Blanc_2024.png,Marlborough,Kia Ora,"citrus fruit, tropical fruit, tree fruit, vegetal, earth, microbio, spices, oak, floral, non oak, black fruit, red fruit, dried fruit","Shellfish, Vegetarian, Goat's Milk Cheese",Sauvignon Blanc
Decoy Sonoma County Sauvignon Blanc 2024,United States,17.99,3.8,images/Decoy_Sonoma_County_Sauvignon_Blanc_2024.png,images/bottle_Decoy_Sonoma_County_Sauvignon_Blanc_2024.png,Sonoma County,Decoy,"citrus fruit, tree fruit, earth, tropical fruit, vegetal, oak, microbio, spices, floral, non oak, red fruit, black fruit, dried fruit","Shellfish, Vegetarian, Goat's Milk Cheese",Sauvignon Blanc
Cloudy Bay Sauvignon Blanc 2016,New Zealand,58.99,4.1,images/Cloudy_Bay_Sauvignon_Blanc_2016.png,images/bottle_Cloudy_Bay_Sauvignon_Blanc_2016.png,Marlborough,Cloudy Bay,"citrus fruit, tropical fruit, vegetal, tree fruit, earth, microbio, spices, floral, oak, non oak, black fruit, red fruit, dried fruit","Shellfish, Vegetarian, Goat's Milk Cheese",Sauvignon Blanc
Whitehaven Sauvignon Blanc 2017,New Zealand,14.98,4.2,images/Whitehaven_Sauvignon_Blanc_2017.png,images/bottle_Whitehaven_Sauvignon_Blanc_2017.png,Marlborough,Whitehaven,"citrus fruit, tree fruit, tropical fruit, vegetal, earth, spices, microbio, oak, floral, non oak, red fruit, black fruit, dried fruit","Shellfish, Vegetarian, Goat's Milk Cheese",Sauvignon Blanc
Matanzas Creek Sauvignon Blanc 2024,United States,15.99,3.8,images/Matanzas_Creek_Sauvignon_Blanc_2024.png,images/bottle_Matanzas_Creek_Sauvignon_Blanc_2024.png,Sonoma County,Matanzas Creek,"citrus fruit, tree fruit, tropical fruit, earth, vegetal, oak, microbio, spices, floral, non oak, red fruit, black fruit, dried fruit","Shellfish, Vegetarian, Goat's Milk Cheese",Sauvignon Blanc
Illumination Sauvignon Blanc 2008,United States,23,4.3,images/Illumination_Sauvignon_Blanc_2008.png,images/bottle_Illumination_Sauvignon_Blanc_2008.png,California,Illumination,"citrus fruit, tree fruit, tropical fruit, earth, microbio, oak, vegetal, floral, spices, non oak, dried fruit, red fruit, black fruit","Shellfish, Vegetarian, Goat's Milk Cheese",Sauvignon Blanc
Matua Sauvignon Blanc 2022,New Zealand,12.99,3.9,images/Matua_Sauvignon_Blanc_2022.png,images/bottle_Matua_Sauvignon_Blanc_2022.png,Marlborough,Matua,"citrus fruit, tropical fruit, tree fruit, vegetal, earth, microbio, spices, oak, floral, non oak, black fruit, red fruit, dried fruit","Shellfish, Vegetarian, Goat's Milk Cheese",Sauvignon Blanc
Brancott Estate Sauvignon Blanc 2022,New Zealand,12.99,4.1,images/Brancott_Estate_Sauvignon_Blanc_2022.png,images/bottle_Brancott_Estate_Sauvignon_Blanc_2022.png,Marlborough,Brancott Estate,"citrus fruit, tropical fruit, vegetal, tree fruit, earth, microbio, spices, floral, oak, non oak, black fruit, red fruit, dried fruit","Shellfish, Vegetarian, Goat's Milk Cheese",Sauvignon Blanc
Gérard Boulay Sancerre à Chavignol Blanc 2024,France,42.99,4.1,images/Grard_Boulay_Sancerre_Chavignol_Blanc_2024.png,images/bottle_Grard_Boulay_Sancerre_Chavignol_Blanc_2024.png,Sancerre,Gérard Boulay,"citrus fruit, earth, tree fruit, vegetal, tropical fruit, microbio, oak, spices, floral, non oak, red fruit, dried fruit, black fruit","Pork, Shellfish, Spicy food, Vegetarian, Goat's Milk Cheese","Chenin Blanc, Sauvignon Blanc"
