name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Château Suduiraut Sauternes (Premier Grand Cru Classé) 1966,France,289,4.3,images/Chteau_Suduiraut_Sauternes_Premier_Grand_Cru_Class.png,images/bottle_Chteau_Suduiraut_Sauternes_Premier_Grand_Cr.png,Sauternes,Château Suduiraut,"earth, tree fruit, oak, citrus fruit, non oak, microbio, tropical fruit, spices, dried fruit, vegetal, floral, black fruit, red fruit","Fruity desserts, Blue cheese","Sauvignon Blanc, Sémillon, Muscadelle"
Château Guiraud Sauternes (Premier Grand Cru Classé) 1966,France,270,4.3,images/Chteau_Guiraud_Sauternes_Premier_Grand_Cru_Class_1.png,images/bottle_Chteau_Guiraud_Sauternes_Premier_Grand_Cru_.png,Sauternes,Château Guiraud,"earth, tree fruit, citrus fruit, oak, non oak, tropical fruit, microbio, spices, dried fruit, floral, vegetal, black fruit, red fruit","Fruity desserts, Blue cheese","Sauvignon Blanc, Sémillon, Muscadelle"
Château Coutet Sauternes Barsac (Premier Grand Cru Classé) 1981,France,65,4.2,images/Chteau_Coutet_Sauternes_Barsac_Premier_Grand_Cru_C.png,images/bottle_Chteau_Coutet_Sauternes_Barsac_Premier_Gran.png,Barsac,Château Coutet,"earth, tree fruit, citrus fruit, oak, non oak, tropical fruit, spices, microbio, dried fruit, floral, vegetal, black fruit, red fruit","Fruity desserts, Blue cheese","Sauvignon Blanc, Sémillon, Muscadelle"
Château d'Esclans Whispering Angel Rosé 2021,France,21.99,4.1,images/Chteau_dEsclans_Whispering_Angel_Ros_2021.png,images/bottle_Chteau_dEsclans_Whispering_Angel_Ros_2021.png,Côtes de Provence,Château d'Esclans,"red fruit, tree fruit, citrus fruit, earth, microbio, floral, oak, spices, tropical fruit, vegetal, non oak, black fruit, dried fruit","Pork, Shellfish, Vegetarian, Poultry","Shiraz/Syrah, Grenache, Cinsault"
Château Doisy-Vedrines-Olivier Castéja Sauternes (Grand Cru Classé) 1983,France,95,4.2,images/Chteau_Doisy_Vedrines_Olivier_Castja_Sauternes_Gra.png,images/bottle_Chteau_Doisy_Vedrines_Olivier_Castja_Sauter.png,Sauternes,Château Doisy-Vedrines-Olivier Castéja,"earth, tree fruit, citrus fruit, oak, non oak, microbio, tropical fruit, spices, dried fruit, vegetal, floral, black fruit, red fruit","Fruity desserts, Blue cheese","Sauvignon Blanc, Sémillon, Muscadelle"
Château Lafaurie-Peyraguey Sauternes (Premier Grand Cru Classé) 1961,France,395,4.3,images/Chteau_Lafaurie_Peyraguey_Sauternes_Premier_Grand_.png,images/bottle_Chteau_Lafaurie_Peyraguey_Sauternes_Premier.png,Sauternes,Château Lafaurie-Peyraguey,"earth, tree fruit, citrus fruit, oak, non oak, microbio, tropical fruit, spices, dried fruit, floral, vegetal, red fruit, black fruit","Fruity desserts, Blue cheese","Sauvignon Blanc, Sémillon, Muscadelle"
Château de Rayne Vigneau Sauternes (Premier Grand Cru Classé) 1971,France,289,4.2,images/Chteau_de_Rayne_Vigneau_Sauternes_Premier_Grand_Cr.png,images/bottle_Chteau_de_Rayne_Vigneau_Sauternes_Premier_G.png,Sauternes,Château de Rayne Vigneau,"earth, tree fruit, citrus fruit, oak, non oak, microbio, tropical fruit, dried fruit, spices, floral, vegetal, black fruit, red fruit","Fruity desserts, Blue cheese","Sauvignon Blanc, Sémillon, Muscadelle"
Château Climens Barsac (Premier Grand Cru Classé) 1970,France,289,4.4,images/Chteau_Climens_Barsac_Premier_Grand_Cru_Class_1970.png,images/bottle_Chteau_Climens_Barsac_Premier_Grand_Cru_Cla.png,Barsac,Château Climens,"earth, tree fruit, citrus fruit, oak, non oak, microbio, tropical fruit, spices, dried fruit, floral, vegetal, black fruit, red fruit","Fruity desserts, Blue cheese","Sauvignon Blanc, Sémillon, Muscadelle"
Château Doisy-Daëne Barsac (Grand Cru Classé) 1962,France,440,4.2,images/Chteau_Doisy_Dane_Barsac_Grand_Cru_Class_1962.png,images/bottle_Chteau_Doisy_Dane_Barsac_Grand_Cru_Class_19.png,Barsac,Château Doisy-Daëne,"earth, tree fruit, citrus fruit, oak, non oak, tropical fruit, microbio, spices, floral, dried fruit, vegetal, red fruit, black fruit","Fruity desserts, Blue cheese","Sauvignon Blanc, Sémillon, Muscadelle"
Moulin Touchais Côteaux du Layon 2010,France,49.99,4.2,images/Moulin_Touchais_Cteaux_du_Layon_2010.png,images/bottle_Moulin_Touchais_Cteaux_du_Layon_2010.png,Côteaux du Layon,Moulin Touchais,"earth, tree fruit, citrus fruit, oak, non oak, microbio, dried fruit, tropical fruit, vegetal, spices, floral, black fruit, red fruit","Mature and hard cheese, Fruity desserts, Blue cheese",Chenin Blanc
