name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Marqués de Riscal Reserva 1960,Spain,445,4.1,images/Marqus_de_Riscal_Reserva_1960.png,images/bottle_Marqus_de_Riscal_Reserva_1960.png,Rioja,Marqués de Riscal,"oak, earth, non oak, spices, black fruit, red fruit, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Veal, Poultry","Tempranillo, Graciano, Garnacha"
E. Guigal Côtes-du-Rhône Blanc 2024,France,19.99,3.6,images/E_Guigal_Ctes_du_Rhne_Blanc_2024.png,images/bottle_E_Guigal_Ctes_du_Rhne_Blanc_2024.png,Côtes-du-Rhône,E. Guigal,"tree fruit, earth, citrus fruit, oak, microbio, spices, non oak, tropical fruit, floral, vegetal, red fruit, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Mature and hard cheese, Poultry, Cured Meat","Viognier, Roussanne, Marsanne, Grenache Blanc, Clairette, Bourboulenc"
Fèlsina Berardenga Chianti Classico 1990,Italy,124,3.8,images/Flsina_Berardenga_Chianti_Classico_1990.png,images/bottle_Flsina_Berardenga_Chianti_Classico_1990.png,Chianti Classico,Fèlsina,"red fruit, oak, earth, non oak, spices, black fruit, microbio, vegetal, floral, dried fruit, citrus fruit, tree fruit, tropical fruit","Beef, Pasta, Veal, Cured Meat",Sangiovese
R. López de Heredia Viña Bosconia Reserva 1954,Spain,979,4.1,images/R_Lpez_de_Heredia_Via_Bosconia_Reserva_1954.png,images/bottle_R_Lpez_de_Heredia_Via_Bosconia_Reserva_1954.png,Rioja Alta,R. López de Heredia,"oak, earth, red fruit, non oak, spices, black fruit, microbio, dried fruit, citrus fruit, vegetal, floral, tree fruit, tropical fruit","Beef, Lamb, Veal, Poultry","Tempranillo, Graciano, Garnacha"
Isole e Olena Chianti Classico 1990,Italy,110,4,images/Isole_e_Olena_Chianti_Classico_1990.png,images/bottle_Isole_e_Olena_Chianti_Classico_1990.png,Chianti Classico,Isole e Olena,"red fruit, oak, earth, non oak, spices, black fruit, vegetal, microbio, floral, citrus fruit, dried fruit, tree fruit, tropical fruit","Beef, Pasta, Veal, Cured Meat",Sangiovese
W. & J. Graham's 10 Year Old Tawny Port,Portugal,28,4.2,images/W_J_Grahams_10_Year_Old_Tawny_Port.png,images/bottle_W_J_Grahams_10_Year_Old_Tawny_Port.png,Porto,W. & J. Graham's,"non oak, oak, dried fruit, earth, microbio, red fruit, spices, black fruit, vegetal, citrus fruit, tree fruit, floral, tropical fruit","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Ruffino Riserva Ducale Oro Chianti Classico (Gran Selezione Gold) 1961,Italy,397,4,images/Ruffino_Riserva_Ducale_Oro_Chianti_Classico_Gran_S.png,images/bottle_Ruffino_Riserva_Ducale_Oro_Chianti_Classico.png,Chianti Classico,Ruffino,"oak, red fruit, earth, non oak, black fruit, spices, microbio, floral, dried fruit, vegetal, citrus fruit, tree fruit","Beef, Pasta, Veal, Cured Meat",Sangiovese
Vega Sicilia Unico Reserva Especial Edición,Spain,729.99,4.7,images/Vega_Sicilia_Unico_Reserva_Especial_Edicin.png,images/bottle_Vega_Sicilia_Unico_Reserva_Especial_Edicin.png,Ribera del Duero,Vega Sicilia,"oak, non oak, earth, black fruit, spices, red fruit, microbio, dried fruit, floral, citrus fruit, vegetal, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison)",Tempranillo
Taylor's 10 Year Old Tawny Port,Portugal,27.99,4.1,images/Taylors_10_Year_Old_Tawny_Port.png,images/bottle_Taylors_10_Year_Old_Tawny_Port.png,Porto,Taylor's,"oak, non oak, dried fruit, earth, black fruit, red fruit, spices, microbio, vegetal, citrus fruit, tree fruit, floral, tropical fruit","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
W. & J. Graham's 20 Year Old Tawny Port,Portugal,59.99,4.4,images/W_J_Grahams_20_Year_Old_Tawny_Port.png,images/bottle_W_J_Grahams_20_Year_Old_Tawny_Port.png,Porto,W. & J. Graham's,"oak, non oak, dried fruit, microbio, earth, citrus fruit, black fruit, spices, red fruit, vegetal, tree fruit, tropical fruit, floral","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
