name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Marqués de Riscal Reserva 1960,Spain,445,4.1,images/Marqus_de_Riscal_Reserva_1960.png,images/bottle_Marqus_de_Riscal_Reserva_1960.png,Rioja,Marqués de Riscal,"oak, earth, non oak, spices, black fruit, red fruit, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Veal, Poultry","Tempranillo, Graciano, Garnacha"
Stags' Leap Petite Sirah 1973,United States,242,4.2,images/Stags_Leap_Petite_Sirah_1973.png,images/bottle_Stags_Leap_Petite_Sirah_1973.png,Napa Valley,Stags' Leap,"black fruit, oak, earth, non oak, spices, red fruit, microbio, dried fruit, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Game (deer, venison)",Petite Sirah
R. López de Heredia Viña Bosconia Reserva 1954,Spain,979,4.1,images/R_Lpez_de_Heredia_Via_Bosconia_Reserva_1954.png,images/bottle_R_Lpez_de_Heredia_Via_Bosconia_Reserva_1954.png,Rioja Alta,R. López de Heredia,"oak, earth, red fruit, non oak, spices, black fruit, microbio, dried fruit, citrus fruit, vegetal, floral, tree fruit, tropical fruit","Beef, Lamb, Veal, Poultry","Tempranillo, Graciano, Garnacha"
Vega Sicilia Unico Reserva Especial Edición,Spain,729.99,4.7,images/Vega_Sicilia_Unico_Reserva_Especial_Edicin.png,images/bottle_Vega_Sicilia_Unico_Reserva_Especial_Edicin.png,Ribera del Duero,Vega Sicilia,"oak, non oak, earth, black fruit, spices, red fruit, microbio, dried fruit, floral, citrus fruit, vegetal, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison)",Tempranillo
Taylor's 10 Year Old Tawny Port,Portugal,27.99,4.1,images/Taylors_10_Year_Old_Tawny_Port.png,images/bottle_Taylors_10_Year_Old_Tawny_Port.png,Porto,Taylor's,"oak, non oak, dried fruit, earth, black fruit, red fruit, spices, microbio, vegetal, citrus fruit, tree fruit, floral, tropical fruit","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Viña Albina Gran Reserva 1970,Spain,122,3.8,images/Via_Albina_Gran_Reserva_1970.png,images/bottle_Via_Albina_Gran_Reserva_1970.png,Rioja,Viña Albina,"oak, earth, red fruit, non oak, spices, black fruit, microbio, dried fruit, vegetal, citrus fruit, floral, tree fruit","Beef, Lamb, Veal, Poultry","Tempranillo, Graciano, Garnacha"
Burgo Viejo Rioja Crianza 2021,Spain,13.99,3.7,images/Burgo_Viejo_Rioja_Crianza_2021.png,images/bottle_Burgo_Viejo_Rioja_Crianza_2021.png,Rioja,Burgo Viejo,"oak, earth, red fruit, non oak, black fruit, spices, microbio, vegetal, dried fruit, floral, citrus fruit, tree fruit","Beef, Lamb, Veal, Poultry","Tempranillo, Graciano, Garnacha"
Sandeman Fine Ruby Port,Portugal,17.99,3.9,images/Sandeman_Fine_Ruby_Port.png,images/bottle_Sandeman_Fine_Ruby_Port.png,Porto,Sandeman,"black fruit, red fruit, oak, dried fruit, non oak, earth, spices, microbio, tree fruit, citrus fruit, vegetal, floral, tropical fruit","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Emilio Moro Emilio Moro 2020,Spain,28.99,4.2,images/Emilio_Moro_Emilio_Moro_2020.png,images/bottle_Emilio_Moro_Emilio_Moro_2020.png,Ribera del Duero,Emilio Moro,"oak, black fruit, non oak, earth, spices, red fruit, microbio, dried fruit, floral, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison)",Tempranillo
Campo Viejo Reserva 2017,Spain,22.84,3.8,images/Campo_Viejo_Reserva_2017.png,images/bottle_Campo_Viejo_Reserva_2017.png,Rioja,Campo Viejo,"oak, non oak, spices, red fruit, earth, black fruit, microbio, dried fruit, vegetal, citrus fruit, floral, tree fruit, tropical fruit","Beef, Lamb, Veal, Poultry","Tempranillo, Graciano, Garnacha"
Cune (CVNE) Crianza 2020,Spain,11.99,3.7,images/Cune_CVNE_Crianza_2020.png,images/bottle_Cune_CVNE_Crianza_2020.png,Rioja,Cune (CVNE),"oak, red fruit, non oak, spices, earth, black fruit, microbio, dried fruit, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Veal, Poultry","Tempranillo, Graciano, Garnacha"
La Rioja Alta Viña Ardanza Reserva 2017,Spain,40,4.3,images/La_Rioja_Alta_Via_Ardanza_Reserva_2017.png,images/bottle_La_Rioja_Alta_Via_Ardanza_Reserva_2017.png,Rioja,La Rioja Alta,"oak, non oak, earth, spices, red fruit, black fruit, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Veal, Poultry","Tempranillo, Graciano, Garnacha"
Campo Viejo Tempranillo 2021,Spain,12.99,3.7,images/Campo_Viejo_Tempranillo_2021.png,images/bottle_Campo_Viejo_Tempranillo_2021.png,Rioja,Campo Viejo,"oak, red fruit, non oak, spices, black fruit, earth, microbio, dried fruit, citrus fruit, vegetal, floral, tree fruit, tropical fruit","Beef, Lamb, Veal, Poultry","Tempranillo, Graciano, Garnacha"
El Coto Crianza 2019,Spain,12.99,3.7,images/El_Coto_Crianza_2019.png,images/bottle_El_Coto_Crianza_2019.png,Rioja Alavesa,El Coto,"oak, red fruit, non oak, spices, earth, black fruit, microbio, dried fruit, vegetal, citrus fruit, floral, tree fruit, tropical fruit","Beef, Lamb, Veal, Poultry","Tempranillo, Graciano, Garnacha"
Emilio Moro Finca Resalso 2022,Spain,12,4,images/Emilio_Moro_Finca_Resalso_2022.png,images/bottle_Emilio_Moro_Finca_Resalso_2022.png,Ribera del Duero,Emilio Moro,"oak, red fruit, non oak, black fruit, spices, earth, microbio, floral, dried fruit, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison)",Tempranillo
Sandeman 10 Years Old Tawny Porto,Portugal,29.99,4.1,images/Sandeman_10_Years_Old_Tawny_Porto.png,images/bottle_Sandeman_10_Years_Old_Tawny_Porto.png,Porto,Sandeman,"oak, non oak, dried fruit, spices, black fruit, red fruit, microbio, earth, citrus fruit, vegetal, tree fruit, floral","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Pinord Clos de Torribas Crianza Tempranillo 2015,Spain,17.99,3.7,images/Pinord_Clos_de_Torribas_Crianza_Tempranillo_2015.png,images/bottle_Pinord_Clos_de_Torribas_Crianza_Tempranillo.png,Penedès,Pinord,"oak, red fruit, non oak, earth, spices, black fruit, dried fruit, floral, microbio, vegetal, citrus fruit","Beef, Lamb, Veal, Poultry",Tempranillo
El Coto Coto de Imaz Rioja Reserva 2020,Spain,24.99,3.8,images/El_Coto_Coto_de_Imaz_Rioja_Reserva_2020.png,images/bottle_El_Coto_Coto_de_Imaz_Rioja_Reserva_2020.png,Rioja Alavesa,El Coto,"oak, non oak, spices, earth, red fruit, black fruit, microbio, dried fruit, vegetal, citrus fruit, floral, tree fruit, tropical fruit","Beef, Lamb, Veal, Poultry","Tempranillo, Graciano, Garnacha"
La Rioja Alta Viña Alberdi Reserva 2019,Spain,25,4.2,images/La_Rioja_Alta_Via_Alberdi_Reserva_2019.png,images/bottle_La_Rioja_Alta_Via_Alberdi_Reserva_2019.png,Rioja,La Rioja Alta,"oak, non oak, earth, red fruit, spices, black fruit, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Veal, Poultry","Tempranillo, Graciano, Garnacha"
