name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Rombauer Vineyards Chardonnay 2004,United States,58.72,4.4,images/Rombauer_Vineyards_Chardonnay_2004.png,images/bottle_Rombauer_Vineyards_Chardonnay_2004.png,Los Carneros,Rombauer Vineyards,"oak, microbio, non oak, tree fruit, spices, citrus fruit, tropical fruit, vegetal, earth, floral, dried fruit, red fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",Chardonnay
E. Guigal Côtes-du-Rhône Blanc 2024,France,19.99,3.6,images/E_Guigal_Ctes_du_Rhne_Blanc_2024.png,images/bottle_E_Guigal_Ctes_du_Rhne_Blanc_2024.png,Côtes-du-Rhône,E. Guigal,"tree fruit, earth, citrus fruit, oak, microbio, spices, non oak, tropical fruit, floral, vegetal, red fruit, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Mature and hard cheese, Poultry, Cured Meat","Viognier, Roussanne, Marsanne, Grenache Blanc, Clairette, Bourboulenc"
Chateau Montelena Chardonnay 1996,United States,525,4.3,images/Chateau_Montelena_Chardonnay_1996.png,images/bottle_Chateau_Montelena_Chardonnay_1996.png,Napa Valley,Chateau Montelena,"oak, tree fruit, microbio, citrus fruit, non oak, earth, spices, tropical fruit, vegetal, floral, red fruit, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",Chardonnay
Joel Gott Sauvignon Blanc 2006,United States,18.56,3.7,images/Joel_Gott_Sauvignon_Blanc_2006.png,images/bottle_Joel_Gott_Sauvignon_Blanc_2006.png,California,Joel Gott,"citrus fruit, tree fruit, tropical fruit, earth, oak, vegetal, microbio, spices, non oak, floral, red fruit, black fruit, dried fruit","Shellfish, Vegetarian, Goat's Milk Cheese",Sauvignon Blanc
Bonneau du Martray Corton-Charlemagne Grand Cru 2021,France,825,4.4,images/Bonneau_du_Martray_Corton_Charlemagne_Grand_Cru_20.png,images/bottle_Bonneau_du_Martray_Corton_Charlemagne_Grand.png,Corton-Charlemagne Grand Cru,Bonneau du Martray,"oak, earth, microbio, citrus fruit, tree fruit, non oak, spices, tropical fruit, vegetal, floral, red fruit, dried fruit, black fruit","Pasta, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese, Cured Meat","Chardonnay, Pinot Gris, Pinot Blanc, Aligoté"
Cloudy Bay Chardonnay 2023,New Zealand,38.99,3.9,images/Cloudy_Bay_Chardonnay_2023.png,images/bottle_Cloudy_Bay_Chardonnay_2023.png,Marlborough,Cloudy Bay,"oak, citrus fruit, microbio, tree fruit, non oak, earth, spices, tropical fruit, vegetal, floral, red fruit, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",Chardonnay
Kia Ora Sauvignon Blanc 2024,New Zealand,13.97,4,images/Kia_Ora_Sauvignon_Blanc_2024.png,images/bottle_Kia_Ora_Sauvignon_Blanc_2024.png,Marlborough,Kia Ora,"citrus fruit, tropical fruit, tree fruit, vegetal, earth, microbio, spices, oak, floral, non oak, black fruit, red fruit, dried fruit","Shellfish, Vegetarian, Goat's Milk Cheese",Sauvignon Blanc
Josh Cellars Sauvignon Blanc 2024,United States,12.99,3.7,images/Josh_Cellars_Sauvignon_Blanc_2024.png,images/bottle_Josh_Cellars_Sauvignon_Blanc_2024.png,North Coast,Josh Cellars,"citrus fruit, tree fruit, tropical fruit, oak, earth, vegetal, microbio, spices, non oak, red fruit, black fruit, floral, dried fruit","Shellfish, Vegetarian, Goat's Milk Cheese",Sauvignon Blanc
Decoy Sonoma County Sauvignon Blanc 2024,United States,17.99,3.8,images/Decoy_Sonoma_County_Sauvignon_Blanc_2024.png,images/bottle_Decoy_Sonoma_County_Sauvignon_Blanc_2024.png,Sonoma County,Decoy,"citrus fruit, tree fruit, earth, tropical fruit, vegetal, oak, microbio, spices, floral, non oak, red fruit, black fruit, dried fruit","Shellfish, Vegetarian, Goat's Milk Cheese",Sauvignon Blanc
Emidio Pepe Trebbiano d'Abruzzo 2001,Italy,675,4.1,images/Emidio_Pepe_Trebbiano_dAbruzzo_2001.png,images/bottle_Emidio_Pepe_Trebbiano_dAbruzzo_2001.png,Trebbiano d'Abruzzo,Emidio Pepe,"earth, tree fruit, citrus fruit, microbio, oak, non oak, vegetal, spices, tropical fruit, floral, dried fruit, black fruit, red fruit","Pasta, Vegetarian, Appetizers and snacks, Lean fish, Cured Meat","Trebbiano, Verdicchio"
