name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Duckhorn Napa Valley Merlot 1989,United States,110,4.2,images/Duckhorn_Napa_Valley_Merlot_1989.png,images/bottle_Duckhorn_Napa_Valley_Merlot_1989.png,Napa Valley,Duckhorn,"oak, black fruit, red fruit, non oak, spices, earth, microbio, dried fruit, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Veal",Merlot
Duckhorn Napa Valley Merlot 1987,United States,148,4.2,images/Duckhorn_Napa_Valley_Merlot_1987.png,images/bottle_Duckhorn_Napa_Valley_Merlot_1987.png,Napa Valley,Duckhorn,"oak, black fruit, red fruit, non oak, spices, earth, microbio, dried fruit, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Veal",Merlot
Duckhorn Napa Valley Merlot 1986,United States,123,4.2,images/Duckhorn_Napa_Valley_Merlot_1986.png,images/bottle_Duckhorn_Napa_Valley_Merlot_1986.png,Napa Valley,Duckhorn,"oak, black fruit, red fruit, non oak, spices, earth, microbio, dried fruit, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Veal",Merlot
Yellow Tail Merlot 2024,Australia,11.69,3.3,images/Yellow_Tail_Merlot_2024.png,images/bottle_Yellow_Tail_Merlot_2024.png,South Eastern Australia,Yellow Tail,"oak, black fruit, spices, non oak, red fruit, earth, microbio, dried fruit, vegetal, tree fruit, citrus fruit, floral, tropical fruit","Beef, Lamb, Veal",Merlot
H3 Wines Merlot 2022,United States,11.99,3.7,images/H3_Wines_Merlot_2022.png,images/bottle_H3_Wines_Merlot_2022.png,Horse Heaven Hills,H3 Wines,"oak, black fruit, earth, non oak, red fruit, spices, microbio, dried fruit, vegetal, floral, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Veal",Merlot
Duckhorn Three Palms Vineyard Merlot 2000,United States,133,4.4,images/Duckhorn_Three_Palms_Vineyard_Merlot_2000.png,images/bottle_Duckhorn_Three_Palms_Vineyard_Merlot_2000.png,Napa Valley,Duckhorn,"oak, black fruit, non oak, red fruit, spices, earth, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Veal",Merlot
Duckhorn Three Palms Vineyard Merlot 1987,United States,189,4.4,images/Duckhorn_Three_Palms_Vineyard_Merlot_1987.png,images/bottle_Duckhorn_Three_Palms_Vineyard_Merlot_1987.png,Napa Valley,Duckhorn,"oak, black fruit, non oak, red fruit, spices, earth, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Veal",Merlot
Duckhorn Three Palms Vineyard Merlot 1988,United States,199,4.4,images/Duckhorn_Three_Palms_Vineyard_Merlot_1988.png,images/bottle_Duckhorn_Three_Palms_Vineyard_Merlot_1988.png,Napa Valley,Duckhorn,"oak, black fruit, non oak, red fruit, spices, earth, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Veal",Merlot
Pride Mountain Vineyards Merlot 1994,United States,239,4.3,images/Pride_Mountain_Vineyards_Merlot_1994.png,images/bottle_Pride_Mountain_Vineyards_Merlot_1994.png,California,Pride Mountain Vineyards,"oak, black fruit, red fruit, non oak, earth, spices, microbio, dried fruit, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Veal",Merlot
Radius Merlot 2022,United States,13.97,3.7,images/Radius_Merlot_2022.png,images/bottle_Radius_Merlot_2022.png,Washington,Radius,"red fruit, oak, non oak, black fruit, spices, earth, microbio, dried fruit, tree fruit, citrus fruit, floral","Beef, Lamb, Veal",Merlot
