name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Penfolds St. Henri Shiraz 1995,Australia,199.99,4.4,images/Penfolds_St_Henri_Shiraz_1995.png,images/bottle_Penfolds_St_Henri_Shiraz_1995.png,South Australia,Penfolds,"oak, black fruit, spices, earth, non oak, red fruit, microbio, dried fruit, floral, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison)",Shiraz/Syrah
Paul Jaboulet Aîné Crozes-Hermitage Domaine de Thalabert 1989,France,167,4,images/Paul_Jaboulet_An_Crozes_Hermitage_Domaine_de_Thala.png,images/bottle_Paul_Jaboulet_An_Crozes_Hermitage_Domaine_d.png,Crozes-Hermitage,Paul Jaboulet Aîné,"black fruit, oak, earth, spices, non oak, red fruit, microbio, floral, dried fruit, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry",Shiraz/Syrah
Domaine Jean-Louis Chave L'Hermitage 2022,France,325,4.6,images/Domaine_Jean_Louis_Chave_LHermitage_2022.png,images/bottle_Domaine_Jean_Louis_Chave_LHermitage_2022.png,Hermitage,Domaine Jean-Louis Chave,"earth, oak, black fruit, spices, non oak, red fruit, microbio, floral, dried fruit, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry",Shiraz/Syrah
Domaine Jamet Côte-Rôtie 2022,France,199,4.4,images/Domaine_Jamet_Cte_Rtie_2022.png,images/bottle_Domaine_Jamet_Cte_Rtie_2022.png,Côte-Rôtie,Domaine Jamet,"earth, oak, spices, black fruit, non oak, red fruit, floral, microbio, vegetal, dried fruit, citrus fruit, tree fruit","Beef, Lamb, Game (deer, venison), Poultry","Shiraz/Syrah, Viognier"
E. Guigal Hermitage 1979,France,188,4.1,images/E_Guigal_Hermitage_1979.png,images/bottle_E_Guigal_Hermitage_1979.png,Hermitage,E. Guigal,"oak, earth, black fruit, spices, non oak, red fruit, floral, microbio, dried fruit, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry",Shiraz/Syrah
E. Guigal Hermitage 1978,France,630,4.1,images/E_Guigal_Hermitage_1978.png,images/bottle_E_Guigal_Hermitage_1978.png,Hermitage,E. Guigal,"oak, earth, black fruit, spices, non oak, red fruit, floral, microbio, dried fruit, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry",Shiraz/Syrah
M. Chapoutier Belleruche Côtes-du-Rhône 2019,France,14.99,3.8,images/M_Chapoutier_Belleruche_Ctes_du_Rhne_2019.png,images/bottle_M_Chapoutier_Belleruche_Ctes_du_Rhne_2019.png,Côtes-du-Rhône,M. Chapoutier,"red fruit, black fruit, earth, oak, spices, non oak, microbio, tree fruit, citrus fruit, floral, dried fruit, vegetal, tropical fruit","Beef, Lamb, Game (deer, venison)","Shiraz/Syrah, Grenache, Mourvedre"
Auguste Clape Cornas 2022,France,209.99,4.3,images/Auguste_Clape_Cornas_2022.png,images/bottle_Auguste_Clape_Cornas_2022.png,Cornas,Auguste Clape,"earth, black fruit, oak, spices, non oak, red fruit, floral, microbio, vegetal, dried fruit, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry",Shiraz/Syrah
Auguste Clape Cornas 1990,France,945,4.3,images/Auguste_Clape_Cornas_1990.png,images/bottle_Auguste_Clape_Cornas_1990.png,Cornas,Auguste Clape,"earth, black fruit, oak, spices, non oak, red fruit, floral, microbio, vegetal, dried fruit, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry",Shiraz/Syrah
Auguste Clape Cornas 1984,France,765,4.3,images/Auguste_Clape_Cornas_1984.png,images/bottle_Auguste_Clape_Cornas_1984.png,Cornas,Auguste Clape,"earth, black fruit, oak, spices, non oak, red fruit, floral, microbio, vegetal, dried fruit, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry",Shiraz/Syrah
