id,title,country,region,winery,variety,vintage,description,points,price,alcohol,acidity,body,tannins,sweetness,style,image_url,mood_tags,food_pairing,tasting_notes,winery_history
1,Banrock Station 2006 Chardonnay (South Eastern Australia),Australia,South Eastern Australia,Banrock Station,Chardonnay,2006,"Possibly a little sweet, this is a soft, easygoing Chardonnay marked by clean, modest pear and melon flavors.",83,5.0,12.1,Medium,Light,None,Dry,Still White,https://images.vivino.com/thumbs/banrock-station-2006-chardonnay-325155.jpg,"Luxurious, Rich, Creamy, Intimate, Festive","Roasted chicken, Grilled fish, Lobster","Possibly a little sweet, this is a soft, easygoing Chardonnay marked by clean, modest pear and melon flavors.","Banrock Station is a respected winery from Australia, known for producing quality wines that showcase the unique characteristics of their regional terroir and local grape varieties."
2,Cellier des Dauphins 2015 Réserve Rosé (Côtes du Rhône),France,Côtes du Rhône,Cellier des Dauphins,Rosé,2015,"A soft, almost off dry wine that is full in the mouth. It has caramel and spice flavors as well as light acidity. The wine feels weighty and definitely needs food.",85,12.0,12.1,Medium-High,Medium,Medium,Dry,Rosé,https://images.wine.com/labels/cellier-des-dauphins-2015-rosé-111593.jpg,"Reliable, Intimate, Good","Fresh berries, Charcuterie, Mediterranean salad","A soft, almost off dry wine that is full in the mouth. It has caramel and spice flavors as well as light acidity. The wine feels weighty and definitely needs food.",A historic French winery that has weathered both world wars and continues to produce wines that reflect the unique characteristics of its France origins.
3,Esperanza 2013 Estate Grown & Bottled Verdejo-Viura (Rueda),Spain,Rueda,Esperanza,Verdejo-Viura,2013,"Generic white-fruit aromas of peach and apple are slightly pithy. This feels good but innocuous, while flavors of apple and stone fruits lose some of their snap and directness on a tropical-tasting finish.",86,9.0,13.2,High,Light,Medium-High,Dry,Still Red,https://images.vivino.com/thumbs/esperanza-2013-verdejo-viura-127885.jpg,"Balanced, Pleasant, Reliable, Festive","Hard cheeses, Pasta, Red meat","Generic white-fruit aromas of peach and apple are slightly pithy. This feels good but innocuous, while flavors of apple and stone fruits lose some of their snap and directness on a tropical-tasting finish.","This historic winery has been a cornerstone of Spanish viticulture, producing wines that capture the essence of Spain's diverse wine regions."
4,Midnight 2010 Nebula Cabernet Sauvignon (Paso Robles),US,Paso Robles,Midnight,Cabernet Sauvignon,2010,"This is the winery's best Nebula in years. While it's still a little on the soft, sweet side, the cool vintage has resonated in the wine's flavor, giving it a good structure housing cherry, currant and sandalwood flavors. Drink now.",87,29.0,14.8,High,Full,None,Dry,Still White,https://wine-images.wine.com/media/catalog/product/midnight-2010-cabernet-sauvig-502507.jpg,"Good, Sophisticated, Powerful, Bold, Reliable","Seafood, Light poultry, Fresh cheeses, Vegetables","This is the winery's best Nebula in years. While it's still a little on the soft, sweet side, the cool vintage has resonated in the wine's flavor, giving it a good structure housing cherry, currant and sandalwood flavors. Drink now.",Established by passionate winemakers who moved to US to pursue their dream of creating world-class wines in the New World style.
5,Harrington 2006 Wiley Vineyard Pinot Noir (Anderson Valley),US,Anderson Valley,Harrington,Pinot Noir,2006,"This is a very rich Pinot whose primary virtue is fruit. It just explodes with delicious cherry jam, red currant, licorice and mocha flavors. Dry and crisply acidic, it's a beautiful wine for early drinking.",88,40.0,12.1,Medium-High,Light,Low,Dry,Still Red,https://cdn.wine-searcher.com/images/labels/harrington-2006-pinot-noir-287542.jpg,"Reliable, Sophisticated, Delicate, Good, Romantic","Roasted chicken, Duck breast, Soft cheeses, Grilled salmon","This is a very rich Pinot whose primary virtue is fruit. It just explodes with delicious cherry jam, red currant, licorice and mocha flavors. Dry and crisply acidic, it's a beautiful wine for early drinking.",Established by passionate winemakers who moved to US to pursue their dream of creating world-class wines in the New World style.
6,Meiomi 2013 Chardonnay (Sonoma County-Monterey County-Santa Barbara County),US,Sonoma County-Monterey County-Santa Barbara County,Meiomi,Chardonnay,2013,"An unabashedly rich and luscious wine, this combines ripe and fresh fruit flavors with luxurious spicy, buttery accents and an almost thick texture. With a subtext as savory as Udon broth it's practically a meal in a bottle. Call it full-bodied, full-flavored, ultrasmooth and impressive.",90,22.0,12.3,Medium,Medium,None,Dry,Still White,https://images.wine.com/labels/meiomi-2013-chardonnay-486712.jpg,"Cozy, Luxurious, Rich","Creamy pasta, Brie cheese, Grilled fish, Lobster","An unabashedly rich and luscious wine, this combines ripe and fresh fruit flavors with luxurious spicy, buttery accents and an almost thick texture. With a subtext as savory as Udon broth it's practically a meal in a bottle. Call it full-bodied, full-flavored, ultrasmooth and impressive.","Meiomi was founded in 1976 during the modern American wine renaissance, pioneering sustainable farming practices."
7,Fullerton 2014 Five Faces Pinot Noir (Willamette Valley),US,Willamette Valley,Fullerton,Pinot Noir,2014,"This opens with a pleasing toasty aroma, following through on the palate. That deft touch of French oak (33% new) frames a solid core of strawberry preserves and Bing cherry fruit. It resonates on through a stylish, textural finish. Enjoy this immediately, and tuck away a few bottles to drink in five years.",90,33.0,13.6,Medium-High,Light,Medium,Dry,Still Red,https://images.wine.com/labels/fullerton-2014-pinot-noir-169668.jpg,"Romantic, Delicate, Complex, Celebratory","Mushroom risotto, Soft cheeses, Grilled salmon","This opens with a pleasing toasty aroma, following through on the palate. That deft touch of French oak (33% new) frames a solid core of strawberry preserves and Bing cherry fruit. It resonates on through a stylish, textural finish. Enjoy this immediately, and tuck away a few bottles to drink in five years.","Fullerton was founded in 1970 during the modern American wine renaissance, pioneering sustainable farming practices."
8,Lantieri de Paratico NV Saten Chardonnay (Franciacorta),Italy,Franciacorta,Lantieri de Paratico,Chardonnay,2014,"Made with 100% Chardonnay, this creamy sparkler opens with aromas of hawthorn, peach and a whiff of bread crust. The palate reveals candied nectarine zest and golden apple alongside a soft perlage. It ends on a note of white almond.",89,35.0,14.5,Medium,Medium,None,Dry,Still White,https://images.wine.com/labels/lantieri-de-paratico-2014-chardonnay-231916.jpg,"Rich, Luxurious, Reliable, Creamy","Creamy pasta, Grilled fish, Roasted chicken","Made with 100% Chardonnay, this creamy sparkler opens with aromas of hawthorn, peach and a whiff of bread crust. The palate reveals candied nectarine zest and golden apple alongside a soft perlage. It ends on a note of white almond.","Established in 1865, Lantieri de Paratico has become synonymous with quality Italian wine production and sustainable viticulture."
9,Cupcake 2005 Cabernet Sauvignon (Central Coast),US,Central Coast,Cupcake,Cabernet Sauvignon,2005,"Here's a good, everyday Cab if you're looking for a bargain. It's dry, tannic and earthy, with suggestions of currants and oak.",84,10.0,14.6,High,Full,None,Dry,Still White,https://wine-images.wine.com/media/catalog/product/cupcake-2005-cabernet-sauvig-918301.jpg,"Intimate, Sophisticated, Powerful, Bold","Seafood, Vegetables, Light poultry","Here's a good, everyday Cab if you're looking for a bargain. It's dry, tannic and earthy, with suggestions of currants and oak.","Cupcake was founded in 1988 during the modern American wine renaissance, pioneering sustainable farming practices."
10,Domaine du Clos Gautier 2015 Clos du Château Rosé (Côtes de Provence),France,Côtes de Provence,Domaine du Clos Gautier,Rosé,2015,"Made from low-yielding, 70-year-old vines, this is a dense wine with an almost-dark structure and ripe red-plum flavors. Powerful, it obviously will be better with food and could even benefit from decanting before drinking. Age this concentrated wine until late 2016.",92,21.0,11.7,Medium,Medium,High,Dry,Rosé,https://images.vivino.com/thumbs/domaine-du-clos-gaut-2015-rosé-920843.jpg,"Outstanding, Complex, Balanced, Smooth, Sophisticated","Mediterranean salad, Grilled shrimp, Light pasta","Made from low-yielding, 70-year-old vines, this is a dense wine with an almost-dark structure and ripe red-plum flavors. Powerful, it obviously will be better with food and could even benefit from decanting before drinking. Age this concentrated wine until late 2016.","Domaine du Clos Gautier is a traditional French winery established in the late 1800s, known for its commitment to terroir and time-honored winemaking techniques."
