name,country,price,rating,image,region,winery,flavor,food_pairing,grapes
Meiomi Pinot Noir,United States,11.99,4.1,images/Meiomi_Pinot_Noir.png,California,Meiomi,"oak, red fruit, non oak, spices, black fruit, earth, microbio, dried fruit, vegetal, floral, tree fruit, citrus fruit, tropical fruit","Beef, Veal, Game (deer, venison), Poultry",Pinot Noir
Veuve Clicquot Brut (Carte Jaune) Champagne,France,34.99,4.3,images/Veuve_Clicquot_Brut_Carte_Jaune_Champagne.png,Champagne,Veuve Clicquot,"tree fruit, citrus fruit, non oak, microbio, oak, earth, vegetal, spices, tropical fruit, red fruit, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Moët & Chandon Impérial Brut Champagne,France,29.99,4.1,images/Mot_Chandon_Imprial_Brut_Champagne.png,Champagne,Moët & Chandon,"tree fruit, citrus fruit, non oak, microbio, oak, earth, vegetal, spices, red fruit, tropical fruit, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
J. Lohr Vineyards & Wines Estates Seven Oaks Cabernet Sauvignon 2023,United States,14.99,4,images/J_Lohr_Vineyards_Wines_Estates_Seven_Oaks_Cabernet.png,Paso Robles,J. Lohr Vineyards & Wines,"oak, black fruit, red fruit, non oak, spices, earth, microbio, dried fruit, vegetal, tree fruit, floral, citrus fruit, tropical fruit","Beef, Lamb, Game (deer, venison)",Cabernet Sauvignon
Fantini Edizione Cinque Autoctoni,Italy,27.99,4.3,images/Fantini_Edizione_Cinque_Autoctoni.png,Abruzzo,Fantini,"oak, black fruit, non oak, spices, red fruit, earth, dried fruit, microbio, floral, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Pasta, Veal, Poultry","Sangiovese, Montepulciano"
Bollinger Special Cuvée Brut Aÿ Champagne,France,69.99,4.3,images/Bollinger_Special_Cuve_Brut_A_Champagne.png,Champagne,Bollinger,"tree fruit, non oak, microbio, oak, citrus fruit, earth, vegetal, spices, red fruit, tropical fruit, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Decoy Cabernet Sauvignon 2023,United States,17.99,4,images/Decoy_Cabernet_Sauvignon_2023.png,California,Decoy,"oak, black fruit, red fruit, non oak, spices, earth, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry",Cabernet Sauvignon
Laurent-Perrier La Cuvée Brut Champagne,France,49.99,4.1,images/Laurent_Perrier_La_Cuve_Brut_Champagne.png,Champagne,Laurent-Perrier,"citrus fruit, tree fruit, non oak, microbio, oak, earth, vegetal, spices, tropical fruit, floral, red fruit, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Louis Roederer Brut Premier Champagne,France,64.61,4.2,images/Louis_Roederer_Brut_Premier_Champagne.png,Champagne Premier Cru,Louis Roederer,"tree fruit, non oak, citrus fruit, microbio, oak, earth, vegetal, spices, tropical fruit, red fruit, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Perrier-Jouët Grand Brut Champagne,France,32,4.2,images/Perrier_Jout_Grand_Brut_Champagne.png,Champagne,Perrier-Jouët,"tree fruit, citrus fruit, non oak, microbio, oak, earth, vegetal, spices, floral, tropical fruit, red fruit, black fruit, dried fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
