name,country,price,rating,image,region,winery,flavor,food_pairing,grapes
Meiomi Pinot Noir,United States,19.49,4.1,,California,Meiomi,"oak, red fruit, non oak, spices, black fruit, earth, microbio, dried fruit, vegetal, floral, tree fruit, citrus fruit, tropical fruit","Beef, Veal, Game (deer, venison), Poultry",Pinot Noir
Veuve Clicquot Brut (Carte Jaune) Champagne,France,64.99,4.3,,Champagne,Veuve Clicquot,"tree fruit, citrus fruit, non oak, microbio, oak, earth, vegetal, spices, tropical fruit, red fruit, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
19 Crimes Red Blend,Australia,10.76,4,,Victoria,19 Crimes,"oak, non oak, spices, red fruit, black fruit, earth, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Cured Meat",
Ruffino Chianti 1877 1877,Italy,16.89,3.5,,Chianti,Ruffino,"red fruit, oak, earth, black fruit, non oak, spices, microbio, vegetal, floral, dried fruit, citrus fruit, tree fruit, tropical fruit","Beef, Veal, Poultry","Sangiovese, Trebbiano, Canaiolo Nero, Malvasia Nera"
7 Deadly Wines 7 Deadly Zins Old Vine Zinfandel 2022,United States,11.99,3.8,,Lodi,7 Deadly Wines,"oak, black fruit, non oak, earth, red fruit, spices, dried fruit, microbio, vegetal, floral, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
19 Crimes The Banished Dark Red,Australia,12.99,4,,South Eastern Australia,19 Crimes,"oak, black fruit, non oak, spices, red fruit, earth, microbio, dried fruit, vegetal, floral, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Poultry",Cabernet Sauvignon
Bonanza Cabernet Sauvignon Lot,United States,16.99,4.1,,California,Bonanza,"oak, black fruit, non oak, red fruit, spices, earth, dried fruit, microbio, floral, tree fruit, vegetal, citrus fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Poultry",Cabernet Sauvignon
19 Crimes The Uprising Red,Australia,9.99,4,,South Eastern Australia,19 Crimes,"oak, non oak, spices, red fruit, black fruit, earth, dried fruit, microbio, floral, vegetal, tree fruit, tropical fruit, citrus fruit","Beef, Lamb, Poultry",Cabernet Sauvignon
The Prisoner Saldo Zinfandel,United States,26.24,4.2,,California,The Prisoner,"oak, black fruit, red fruit, spices, non oak, earth, dried fruit, microbio, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Poultry",Zinfandel
Pommery Royal Brut Champagne,France,49.99,3.9,,Champagne,Pommery,"tree fruit, non oak, citrus fruit, microbio, oak, earth, vegetal, spices, red fruit, tropical fruit, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Catena Alta Malbec 2023,Argentina,64.99,4.2,,Mendoza,Catena Alta,"oak, black fruit, non oak, earth, spices, red fruit, floral, microbio, dried fruit, vegetal, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Pork",Malbec
G.H. Mumm (Cordon Rouge) Brut Champagne,France,39.97,3.9,,Champagne,G.H. Mumm,"tree fruit, citrus fruit, non oak, microbio, oak, earth, vegetal, spices, tropical fruit, red fruit, floral, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Louis M. Martini Napa Valley Cabernet Sauvignon 2022,United States,45.1,4.1,,Napa Valley,Louis M. Martini,"oak, black fruit, non oak, earth, spices, red fruit, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Game (deer, venison), Mature and hard cheese, Poultry",Cabernet Sauvignon
La Marca Prosecco,Italy,12.98,3.8,,Prosecco,La Marca,"tree fruit, citrus fruit, earth, microbio, floral, non oak, vegetal, oak, tropical fruit, red fruit, spices, black fruit, dried fruit","Shellfish, Vegetarian, Appetizers and snacks, Aperitif, Cured Meat",Glera
Deutz Classic Brut Champagne,France,49.95,4.1,,Champagne,Deutz,"tree fruit, citrus fruit, non oak, microbio, oak, earth, vegetal, spices, tropical fruit, floral, red fruit, dried fruit, black fruit","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese","Chardonnay, Pinot Noir, Pinot Meunier"
Mionetto Prestige Collection Brut Prosecco Treviso,Itália,9.99,3.6,,Prosecco di Treviso,Mionetto,"tree fruit, citrus fruit, earth, microbio, non oak, vegetal, oak, floral, tropical fruit, spices, red fruit, black fruit, dried fruit","Marisco, Vegetariano, Aperitivos e lanches, Aperitivo, Carne curada",Glera
Ferrari Trento Brut,Itália,14.99,3.8,,Trento,Ferrari,"tree fruit, citrus fruit, microbio, non oak, oak, earth, vegetal, spices, tropical fruit, floral, red fruit, dried fruit, black fruit","Marisco, Qualquer junk food serve, Aperitivos e lanches, Peixes magros, Aperitivo",
Lanson Le Black Label Brut Champagne,França,40,3.9,,Champagne,Lanson,"tree fruit, citrus fruit, non oak, microbio, oak, earth, vegetal, spices, red fruit, tropical fruit, floral, black fruit, dried fruit","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles","Chardonnay, Pinot Noir, Pinot Meunier"
Martini Asti,Itália,11.99,3.8,,Asti,Martini,"tree fruit, earth, citrus fruit, tropical fruit, floral, microbio, non oak, oak, red fruit, spices, vegetal, dried fruit, black fruit","Sobremesa, Sobremesas com frutas, Aperitivo",Moscato
Belle Glos Dairyman Vineyard Pinot Noir 2023,Estados Unidos,33.99,4.4,,Russian River Valley,Belle Glos,"oak, red fruit, non oak, spices, black fruit, earth, microbio, dried fruit, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Vitela, Carne de porco, Aves, Cogumelos",Pinot Noir
Clos du Marquis Saint-Julien 2023,França,50,4.2,,Saint-Julien,Clos du Marquis,"oak, black fruit, earth, non oak, spices, red fruit, microbio, floral, dried fruit, vegetal, citrus fruit, tree fruit, tropical fruit","Carne de vaca, Cordeiro, Carne de caça (cervo, veado), Aves","Cabernet Sauvignon, Cabernet Franc, Malbec, Merlot, Petit Verdot, Carménère"
Valdo Marca Oro Valdobbiadene Prosecco Superiore Extra Dry,Itália,14.49,3.7,,Conegliano-Valdobbiadene Prosecco Superiore,Valdo,"tree fruit, citrus fruit, earth, microbio, non oak, vegetal, oak, floral, tropical fruit, spices, red fruit, black fruit, dried fruit","Marisco, Vegetariano, Aperitivos e lanches, Aperitivo, Carne curada",Glera
Drappier Carte d'Or Brut Champagne,França,39.99,4,,Champagne,Drappier,"tree fruit, non oak, citrus fruit, microbio, oak, earth, vegetal, spices, red fruit, tropical fruit, black fruit, floral, dried fruit","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles","Chardonnay, Pinot Noir, Pinot Meunier"
Tinazzi Vinum Italicum No 3 Opera,Itália,29.99,4.2,,Vino d'Italia,Tinazzi,"oak, black fruit, red fruit, non oak, earth, spices, dried fruit, microbio, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Carne de vaca, Massa, Cordeiro, Vitela, Carne de caça (cervo, veado), Carne curada",
Susana Balbo Signature Brioso 2024,Argentina,26.99,4.2,,Agrelo,Susana Balbo,"oak, black fruit, non oak, earth, spices, red fruit, microbio, floral, dried fruit, vegetal, citrus fruit, tree fruit, tropical fruit","Carne de vaca, Massa, Cordeiro, Aves","Cabernet Sauvignon, Cabernet Franc, Malbec, Merlot, Petit Verdot, Carménère"
Segura Viudas Cava Reserva Heredad Brut,Espanha,34.99,3.9,,Cava,Segura Viudas,"tree fruit, citrus fruit, earth, microbio, non oak, oak, vegetal, tropical fruit, spices, red fruit, floral, dried fruit, black fruit","Marisco, Aperitivos e lanches, Peixes magros, Aperitivo, Carne curada","Xarel-lo, Parellada, Trepat, Viura"
